N,City,State,Name,Address,Type,Food,Tourist Attraction,Museum,Park,Shopping,Entertainment,Accommodation,Government,Rating,Total Ratings,Status,Latitude,Longitude,Open Now,Price Level,Website,Local Phone,International Phone,Permanently Closed,Place ID,Viewport,Icon URL
2677,Albany,New York,Dave & Buster's Albany,"1 Crossgates Mall Road Suite L117, Albany","Restaurant, Bar, Food, Point Of Interest, Establishment",1,0,0,0,0,0,0,0,4.1,3142.0,OPERATIONAL,42.689994,-73.852178,1,2,No data,No data,No data,0,ChIJ32nwJh0L3okRRJFDhSvc3FI,"{'northeast': {'lat': 42.69124353029151, 'lng': -73.85087891970849}, 'southwest': {'lat': 42.68854556970851, 'lng': -73.8535768802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
2635,Albany,New York,Far Shot Albany,"69 North Pearl Street, Albany","Tourist Attraction, Bar, Restaurant, Food, Point Of Interest, Establishment",1,1,0,0,0,0,0,0,5.0,2754.0,OPERATIONAL,42.6519417,-73.7510526,1,No data,No data,No data,No data,0,ChIJDc5HbnQL3okR9Q8Ro8emmY4,"{'northeast': {'lat': 42.6532934302915, 'lng': -73.74977606970849}, 'southwest': {'lat': 42.6505954697085, 'lng': -73.75247403029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
2665,Albany,New York,Delmonico's Italian Steakhouse,"1553 Central Avenue, Albany","Restaurant, Food, Point Of Interest, Establishment",1,0,0,0,0,0,0,0,4.4,2509.0,OPERATIONAL,42.7149553,-73.8291615,1,2,No data,No data,No data,0,ChIJnVxRtacM3okRQksXh-wsJ6k,"{'northeast': {'lat': 42.7163332302915, 'lng': -73.82789216970849}, 'southwest': {'lat': 42.7136352697085, 'lng': -73.8305901302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
2658,Albany,New York,Honest Weight Food Co-op,"100 Watervliet Avenue, Albany","Grocery Or Supermarket, Cafe, Supermarket, Health, Store, Restaurant, Food, Point Of Interest, Establishment",1,0,0,0,0,0,0,0,4.6,2202.0,OPERATIONAL,42.6786712,-73.7818912,1,No data,No data,No data,No data,0,ChIJoRusPrML3okRZS7lkfGs5TI,"{'northeast': {'lat': 42.6801004302915, 'lng': -73.78033271970848}, 'southwest': {'lat': 42.6774024697085, 'lng': -73.7830306802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png
2682,Albany,New York,Outback Steakhouse,"145 Wolf Road, Colonie","Meal Takeaway, Bar, Restaurant, Food, Point Of Interest, Establishment",1,0,0,0,0,0,0,0,4.2,1760.0,OPERATIONAL,42.7184102,-73.8050717,1,2,No data,No data,No data,0,ChIJu7i1dYUM3okRwf7moaRGLpU,"{'northeast': {'lat': 42.71973473029151, 'lng': -73.8036627697085}, 'southwest': {'lat': 42.71703676970851, 'lng': -73.80636073029152}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
2680,Albany,New York,Chili's Grill & Bar,"Parking lot, 60 Wolf Road, Colonie","Restaurant, Bar, Food, Point Of Interest, Establishment",1,0,0,0,0,0,0,0,4.0,1640.0,OPERATIONAL,42.714383,-73.814033,1,2,No data,No data,No data,0,ChIJvSTH2p4M3okRzHAD1TPV3Z8,"{'northeast': {'lat': 42.7156424802915, 'lng': -73.81273966970849}, 'southwest': {'lat': 42.7129445197085, 'lng': -73.8154376302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
2605,Albany,New York,New York State Museum,"222 Madison Avenue, Albany","Museum, Tourist Attraction, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.7,3376.0,OPERATIONAL,42.6485806,-73.7611611,0,No data,No data,No data,No data,0,ChIJdaYgqjwK3okRvHZ1rnRowbg,"{'northeast': {'lat': 42.6502041802915, 'lng': -73.75991711970849}, 'southwest': {'lat': 42.6475062197085, 'lng': -73.7626150802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
2743,Albany,New York,Empire State Plaza,"100 South Mall Arterial, Albany","Art Gallery, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.5,1777.0,OPERATIONAL,42.6501631,-73.7599034,1,No data,No data,No data,No data,0,ChIJ-_q5qTwK3okRTlNIN60_3XI,"{'northeast': {'lat': 42.65152783029151, 'lng': -73.7585381697085}, 'southwest': {'lat': 42.64882986970851, 'lng': -73.76123613029152}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
2607,Albany,New York,New York State Capitol,"State St. and, Washington Avenue, Albany","Tourist Attraction, Point Of Interest, Local Government Office, Establishment",0,1,0,0,0,0,0,1,4.6,1712.0,OPERATIONAL,42.652772,-73.7572388,1,No data,No data,No data,No data,0,ChIJKwvcpToK3okRECXf-FfVrnI,"{'northeast': {'lat': 42.65382638029149, 'lng': -73.7562063697085}, 'southwest': {'lat': 42.6511284197085, 'lng': -73.7589043302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
2759,Albany,New York,Landmark's Spectrum 8 Theatres,"290 Delaware Avenue, Albany","Movie Theater, Art Gallery, Point Of Interest, Establishment",0,1,0,0,0,1,0,0,4.6,1090.0,OPERATIONAL,42.6429915,-73.776408,0,No data,No data,No data,No data,0,ChIJ27NjD2wK3okRwYkz3f5KMUw,"{'northeast': {'lat': 42.6444238302915, 'lng': -73.7751669697085}, 'southwest': {'lat': 42.6417258697085, 'lng': -73.7778649302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png
2617,Albany,New York,USS SLATER,"141 Broadway, Albany","Museum, Tourist Attraction, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.9,881.0,OPERATIONAL,42.6424886,-73.7497636,0,No data,No data,No data,No data,0,ChIJJQuJ_h4K3okRTpQnjuCkdAU,"{'northeast': {'lat': 42.64375698029151, 'lng': -73.74869081970849}, 'southwest': {'lat': 42.64105901970851, 'lng': -73.75138878029149}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
2608,Albany,New York,Albany Institute of History & Art,"125 Washington Avenue, Albany","Museum, Tourist Attraction, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.6,712.0,OPERATIONAL,42.655725,-73.760233,0,No data,No data,No data,No data,0,ChIJV1eNBTAK3okRreq4sFdrGa8,"{'northeast': {'lat': 42.6572365802915, 'lng': -73.75906516970849}, 'southwest': {'lat': 42.6545386197085, 'lng': -73.7617631302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
2626,Albany,New York,Schuyler Mansion State Historic Site,"32 Catherine Street, Albany","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.6,327.0,OPERATIONAL,42.641474,-73.759383,0,No data,No data,No data,No data,0,ChIJ8WLjWxcK3okR-dJQ3WeSGNs,"{'northeast': {'lat': 42.6429496802915, 'lng': -73.7582186697085}, 'southwest': {'lat': 42.6402517197085, 'lng': -73.76091663029152}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
2630,Albany,New York,Crailo State Historic Site,"9 1/2 Riverside Avenue, Rensselaer","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.6,77.0,OPERATIONAL,42.634587,-73.749319,0,No data,No data,No data,No data,0,ChIJL5PFSh0K3okRDI7oFO09wWU,"{'northeast': {'lat': 42.6359494802915, 'lng': -73.74810141970849}, 'southwest': {'lat': 42.6332515197085, 'lng': -73.7507993802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
2745,Albany,New York,Underground Railroad Education Center,"194 Livingston Avenue, Albany","Museum, Point Of Interest, Establishment",0,0,1,0,0,0,0,0,4.7,63.0,OPERATIONAL,42.6610895,-73.75445,1,No data,No data,No data,No data,0,ChIJYbSfbywK3okRAO61GbV7-4Y,"{'northeast': {'lat': 42.66249478029149, 'lng': -73.75304036970849}, 'southwest': {'lat': 42.6597968197085, 'lng': -73.7557383302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
2618,Albany,New York,Ten Broeck Mansion,"9 Ten Broeck Place, Albany","Museum, Tourist Attraction, Park, Point Of Interest, Establishment",0,1,1,1,0,0,0,0,4.6,62.0,OPERATIONAL,42.6587337,-73.7511709,0,No data,No data,No data,No data,0,ChIJGVUUdykK3okRCCgAXrY-P4w,"{'northeast': {'lat': 42.6599181802915, 'lng': -73.7500008197085}, 'southwest': {'lat': 42.6572202197085, 'lng': -73.75269878029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
2616,Albany,New York,Opalka Gallery,"140 New Scotland Avenue, Albany","Art Gallery, Museum, Tourist Attraction, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.5,56.0,OPERATIONAL,42.6525494,-73.7830057,0,No data,No data,No data,No data,0,ChIJnVTItVwK3okR5C6B50eQJ5A,"{'northeast': {'lat': 42.6537247802915, 'lng': -73.7817352197085}, 'southwest': {'lat': 42.6510268197085, 'lng': -73.7844331802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
2611,Albany,New York,Irish American Heritage Museum,"21 Quackenbush Square, Albany","Museum, Tourist Attraction, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.5,52.0,OPERATIONAL,42.6542839,-73.74825,0,No data,No data,No data,No data,0,ChIJ0_11_SAK3okRNl_qBEtdKQg,"{'northeast': {'lat': 42.6555127802915, 'lng': -73.7465839197085}, 'southwest': {'lat': 42.65281481970851, 'lng': -73.7492818802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
2710,Albany,New York,The Crossings Park of Colonie,"580 Albany Shaker Road, Loudonville","Park, Point Of Interest, Establishment",0,0,0,1,0,0,0,0,4.7,2209.0,OPERATIONAL,42.7155285,-73.7933741,1,No data,No data,No data,No data,0,ChIJ6xlTDX0M3okR_kin7l3aID0,"{'northeast': {'lat': 42.7168774802915, 'lng': -73.79202511970848}, 'southwest': {'lat': 42.71417951970851, 'lng': -73.7947230802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
2633,Albany,New York,Buckingham Lake Park,"39 Berkshire Boulevard, Albany","Park, Tourist Attraction, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.6,507.0,OPERATIONAL,42.6641696,-73.8090533,1,No data,No data,No data,No data,0,ChIJH4Y6BeUK3okRnhUyQPZMi0I,"{'northeast': {'lat': 42.66566308029151, 'lng': -73.8073906197085}, 'southwest': {'lat': 42.66296511970851, 'lng': -73.8100885802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
2632,Albany,New York,Six Mile Waterworks Park,"135 Fuller Road, Albany","Park, Tourist Attraction, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.4,493.0,OPERATIONAL,42.6965175,-73.8308638,0,No data,No data,No data,No data,0,ChIJF2CY3UcL3okRPrIXgUfM81Q,"{'northeast': {'lat': 42.6977941802915, 'lng': -73.82943496970849}, 'southwest': {'lat': 42.69509621970851, 'lng': -73.83213293029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
2716,Albany,New York,Corning Preserve,"Quay Street, Albany","Park, Point Of Interest, Establishment",0,0,0,1,0,0,0,0,4.5,396.0,OPERATIONAL,42.6517757,-73.745947,1,No data,No data,No data,No data,0,ChIJ_0o7RYgJ3okR8uk0oU4cIZA,"{'northeast': {'lat': 42.6532381302915, 'lng': -73.7449181697085}, 'southwest': {'lat': 42.6505401697085, 'lng': -73.7476161302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
2652,Albany,New York,East Greenbush Town Park,"99 Town Park Road, East Greenbush","Park, Tourist Attraction, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.7,345.0,OPERATIONAL,42.597051,-73.6649946,0,No data,No data,No data,No data,0,ChIJL43FZrfi3YkRfFzgAWuPk28,"{'northeast': {'lat': 42.59838278029149, 'lng': -73.6636097697085}, 'southwest': {'lat': 42.5956848197085, 'lng': -73.6663077302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
2705,Albany,New York,Albany County Helderberg-Hudson Rail Trail,"Rail Trail, 722 South Pearl Street, Albany","Park, Point Of Interest, Establishment",0,0,0,1,0,0,0,0,4.8,236.0,OPERATIONAL,42.6276721,-73.7671196,1,No data,No data,No data,No data,0,ChIJTSBx3-Hh3YkRlTraOrMAaeo,"{'northeast': {'lat': 42.6290810802915, 'lng': -73.7658454697085}, 'southwest': {'lat': 42.6263831197085, 'lng': -73.7685434302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
2772,Albany,New York,Crossgates Mall,"1 Crossgates Mall Road, Albany","Shopping Mall, Point Of Interest, Establishment",0,0,0,0,1,0,0,0,4.3,13857.0,OPERATIONAL,42.689963,-73.8501765,1,No data,No data,No data,No data,0,ChIJ2aVeU8503okRCamZCp7QCjk,"{'northeast': {'lat': 42.69304995, 'lng': -73.84433134999998}, 'southwest': {'lat': 42.68595094999998, 'lng': -73.85666635}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png
2766,Albany,New York,Colonie Center,"131 Colonie Center, Albany","Shopping Mall, Point Of Interest, Establishment",0,0,0,0,1,0,0,0,4.3,8196.0,OPERATIONAL,42.7102634,-73.8164807,1,No data,No data,No data,No data,0,ChIJuyQh2J8M3okRfzex3rIzvNU,"{'northeast': {'lat': 42.7118129802915, 'lng': -73.8155598197085}, 'southwest': {'lat': 42.7091150197085, 'lng': -73.8182577802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png
2769,Albany,New York,Northway Shopping Center,"1440 Central Avenue, Colonie","Shopping Mall, Point Of Interest, Establishment",0,0,0,0,1,0,0,0,4.2,2749.0,OPERATIONAL,42.7065068,-73.8239389,1,No data,No data,No data,No data,0,ChIJZVaZY1wL3okRS9d-08watNU,"{'northeast': {'lat': 42.70879239999999, 'lng': -73.81898029999999}, 'southwest': {'lat': 42.7041236, 'lng': -73.82883030000004}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png
2768,Albany,New York,Stuyvesant Plaza,"1475 Western Avenue, Albany","Shopping Mall, Point Of Interest, Establishment",0,0,0,0,1,0,0,0,4.4,2526.0,OPERATIONAL,42.6830353,-73.8396394,1,No data,No data,No data,No data,0,ChIJeygQBC0L3okRZTDDshwEbQc,"{'northeast': {'lat': 42.6838282302915, 'lng': -73.83783915000001}, 'southwest': {'lat': 42.6811302697085, 'lng': -73.84105854999999}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png
2788,Albany,New York,Crossgates Commons Plaza,"161 Washington Avenue Extension, Albany","Shopping Mall, Point Of Interest, Establishment",0,0,0,0,1,0,0,0,4.3,2173.0,OPERATIONAL,42.696973,-73.8492857,1,No data,No data,No data,No data,0,ChIJnXvd_rV03okRnre84v_ATg4,"{'northeast': {'lat': 42.6983006302915, 'lng': -73.8480258697085}, 'southwest': {'lat': 42.6956026697085, 'lng': -73.8507238302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png
2776,Albany,New York,Westgate Plaza,"911 Central Avenue, Albany","Shopping Mall, Point Of Interest, Establishment",0,0,0,0,1,0,0,0,4.1,2046.0,OPERATIONAL,42.68253,-73.7912541,1,No data,No data,No data,No data,0,ChIJFRbzq6YL3okR0vVmbafF1MQ,"{'northeast': {'lat': 42.6836224302915, 'lng': -73.78963876970849}, 'southwest': {'lat': 42.6809244697085, 'lng': -73.7923367302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png
2761,Albany,New York,Regal Colonie Center,"131 Colonie Center, Albany","Movie Theater, Point Of Interest, Establishment",0,0,0,0,0,1,0,0,4.4,2250.0,OPERATIONAL,42.71096,-73.81666,1,No data,No data,No data,No data,0,ChIJuyQh2J8M3okROzYzjpdz4x0,"{'northeast': {'lat': 42.7118062802915, 'lng': -73.81578285}, 'southwest': {'lat': 42.70910831970851, 'lng': -73.81922265}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png
2760,Albany,New York,Regal Crossgates,"120 B Washington Avenue Extension, Albany","Movie Theater, Point Of Interest, Establishment",0,0,0,0,0,1,0,0,4.1,1640.0,OPERATIONAL,42.690907,-73.85248,1,No data,No data,No data,No data,0,ChIJRzcwJM503okRqMRZgaiWlbs,"{'northeast': {'lat': 42.69231178029149, 'lng': -73.8513396697085}, 'southwest': {'lat': 42.68961381970849, 'lng': -73.85403763029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png
2742,Albany,New York,5 Wits Albany,"1 Crossgates Mall Road, Albany","Amusement Park, Point Of Interest, Establishment",0,0,0,0,0,1,0,0,4.8,1450.0,OPERATIONAL,42.690937,-73.8529063,1,No data,No data,No data,No data,0,ChIJ8Zzjhs903okRMYMmki5rZYw,"{'northeast': {'lat': 42.6920060802915, 'lng': -73.8519169197085}, 'southwest': {'lat': 42.6893081197085, 'lng': -73.8546148802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
2762,Albany,New York,Regal East Greenbush,"279 Troy Road, Rensselaer","Movie Theater, Point Of Interest, Establishment",0,0,0,0,0,1,0,0,4.1,982.0,OPERATIONAL,42.6400871,-73.7013244,1,No data,No data,No data,No data,0,ChIJM1RIqLQJ3okRdH0b4rJoo5U,"{'northeast': {'lat': 42.6414720802915, 'lng': -73.6996777197085}, 'southwest': {'lat': 42.6387741197085, 'lng': -73.70237568029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png
2741,Albany,New York,FunPlex Fun Park,"589 Columbia Turnpike, East Greenbush","Amusement Park, Point Of Interest, Establishment",0,0,0,0,0,1,0,0,4.1,703.0,OPERATIONAL,42.600843,-73.710456,1,No data,No data,No data,No data,0,ChIJDYALYF3i3YkRDRsOYmeXSxc,"{'northeast': {'lat': 42.60219198029149, 'lng': -73.70910701970848}, 'southwest': {'lat': 42.59949401970849, 'lng': -73.7118049802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
2765,Albany,New York,Jericho Drive-In,"21 Jericho Road, Glenmont","Movie Theater, Store, Food, Point Of Interest, Establishment",0,0,0,0,0,1,0,0,4.7,564.0,OPERATIONAL,42.5746773,-73.806159,0,No data,No data,No data,No data,0,ChIJy9UP6pXh3YkR73ossJKlNmg,"{'northeast': {'lat': 42.57574083029149, 'lng': -73.80441616970849}, 'southwest': {'lat': 42.57304286970849, 'lng': -73.8071141302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png
2466,Asheville,North Carolina,Tupelo Honey Southern Kitchen & Bar,"12 College Street, Asheville","Restaurant, Food, Point Of Interest, Establishment",1,0,0,0,0,0,0,0,4.5,7024.0,OPERATIONAL,35.5947513,-82.5548028,1,2,No data,No data,No data,0,ChIJ8YsS8lbzWYgRrhoIIoqXCnM,"{'northeast': {'lat': 35.5960627802915, 'lng': -82.55339766970849}, 'southwest': {'lat': 35.5933648197085, 'lng': -82.5560956302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
2483,Asheville,North Carolina,Moose Cafe,"570 Brevard Road, Asheville","Restaurant, Food, Point Of Interest, Establishment",1,0,0,0,0,0,0,0,4.4,6268.0,OPERATIONAL,35.5536779,-82.5993863,1,1,No data,No data,No data,0,ChIJc_vZTQKNWYgR2VW4owpuEWA,"{'northeast': {'lat': 35.5551338302915, 'lng': -82.59816496970849}, 'southwest': {'lat': 35.5524358697085, 'lng': -82.60086293029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
2468,Asheville,North Carolina,Pack's Tavern,"20 South Spruce Street, Asheville","Bar, Restaurant, Food, Point Of Interest, Establishment",1,0,0,0,0,0,0,0,4.6,5398.0,OPERATIONAL,35.5951622,-82.5496678,1,2,No data,No data,No data,0,ChIJleGXSljzWYgRLWBZ8msiMls,"{'northeast': {'lat': 35.5964903302915, 'lng': -82.54839051970849}, 'southwest': {'lat': 35.5937923697085, 'lng': -82.5510884802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
2474,Asheville,North Carolina,White Duck Taco Shop,"388 Riverside Drive, Asheville","Bar, Restaurant, Food, Point Of Interest, Establishment",1,0,0,0,0,0,0,0,4.7,5328.0,OPERATIONAL,35.5940821,-82.5723065,1,1,No data,No data,No data,0,ChIJKw_fWq6MWYgRUqTIsHHyZF8,"{'northeast': {'lat': 35.5950931802915, 'lng': -82.57075471970849}, 'southwest': {'lat': 35.59239521970851, 'lng': -82.5734526802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
2500,Asheville,North Carolina,Cracker Barrel Old Country Store,"5 Crowell Road, Asheville","Meal Takeaway, Restaurant, Point Of Interest, Food, Store, Establishment",1,0,0,0,0,0,0,0,4.2,4951.0,OPERATIONAL,35.5620724,-82.6363054,1,2,No data,No data,No data,0,ChIJV8EhizKMWYgRSf8cETCJoAA,"{'northeast': {'lat': 35.5631198802915, 'lng': -82.63496411970848}, 'southwest': {'lat': 35.5604219197085, 'lng': -82.63766208029149}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
2511,Asheville,North Carolina,Texas Roadhouse,"230 Hendersonville Road, Asheville","Restaurant, Food, Point Of Interest, Establishment",1,0,0,0,0,0,0,0,4.3,4939.0,OPERATIONAL,35.5611189,-82.5397753,1,2,No data,No data,No data,0,ChIJd7dDmxjzWYgRmwqIKpKH4UU,"{'northeast': {'lat': 35.5625776802915, 'lng': -82.5384832697085}, 'southwest': {'lat': 35.5598797197085, 'lng': -82.5411812302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png
2406,Asheville,North Carolina,Biltmore,"1 Lodge Street, Asheville","Museum, Tourist Attraction, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.7,32181.0,OPERATIONAL,35.5527514,-82.5636905,1,No data,No data,No data,No data,0,ChIJs183vc_yWYgRddbMMm8FVZI,"{'northeast': {'lat': 35.58010105, 'lng': -82.53551945}, 'southwest': {'lat': 35.52756605, 'lng': -82.57308084999998}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
2432,Asheville,North Carolina,Breakout Games - Asheville,"60 Patton Avenue, Asheville","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,5.0,6425.0,OPERATIONAL,35.5943531,-82.5540662,1,No data,No data,No data,No data,0,ChIJu9SM41bzWYgRfPf9rihBJDQ,"{'northeast': {'lat': 35.5958038302915, 'lng': -82.5527377197085}, 'southwest': {'lat': 35.5931058697085, 'lng': -82.55543568029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
2414,Asheville,North Carolina,Western North Carolina Nature Center,"75 Gashes Creek Road, Asheville","Zoo, Tourist Attraction, Park, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.6,3610.0,OPERATIONAL,35.5794378,-82.4942607,0,No data,No data,No data,No data,0,ChIJK6H_L-vzWYgRLc8MNfy08A4,"{'northeast': {'lat': 35.5810591802915, 'lng': -82.49277091970849}, 'southwest': {'lat': 35.5783612197085, 'lng': -82.4954688802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
2448,Asheville,North Carolina,Blue Ridge Parkway Visitor Center,"195 Hemphill Knob Road, Asheville","Travel Agency, Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.7,2753.0,OPERATIONAL,35.5658059,-82.4863211,0,No data,No data,No data,No data,0,ChIJoy-s6cTzWYgR5Mcbf3txne0,"{'northeast': {'lat': 35.5670574302915, 'lng': -82.48515236970849}, 'southwest': {'lat': 35.5643594697085, 'lng': -82.4878503302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
2562,Asheville,North Carolina,Asheville Pinball Museum,"1 Battle Square Ste 1b, Asheville","Museum, Tourist Attraction, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.8,2534.0,OPERATIONAL,35.5964044,-82.5566584,1,No data,No data,No data,No data,0,ChIJf_WS21XzWYgRzNK3TkVqrc0,"{'northeast': {'lat': 35.5976679802915, 'lng': -82.5552703197085}, 'southwest': {'lat': 35.5949700197085, 'lng': -82.5579682802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
2422,Asheville,North Carolina,Asheville Botanical Garden,"151 WT Weaver Boulevard, Asheville","Tourist Attraction, Park, Point Of Interest, Establishment",0,1,0,1,0,0,0,0,4.5,1833.0,OPERATIONAL,35.6124838,-82.5660193,1,No data,No data,No data,No data,0,ChIJLfigtU2LWYgRR2LW7OsQvD8,"{'northeast': {'lat': 35.61369903029149, 'lng': -82.56459036970848}, 'southwest': {'lat': 35.6110010697085, 'lng': -82.5672883302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png
2431,Asheville,North Carolina,Asheville Museum of Science,"43 Patton Avenue, Asheville","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.0,787.0,OPERATIONAL,35.5947901,-82.5533963,1,No data,No data,No data,No data,0,ChIJ27F-BFfzWYgR0vZoQExAk7c,"{'northeast': {'lat': 35.5960823302915, 'lng': -82.5521032697085}, 'southwest': {'lat': 35.59338436970851, 'lng': -82.5548012302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
2488,Asheville,North Carolina,Grove Arcade,"1 Page Avenue, Asheville","Museum, Restaurant, Point Of Interest, Food, Establishment",1,0,1,0,0,0,0,0,4.3,727.0,OPERATIONAL,35.595615,-82.5566561,1,No data,No data,No data,No data,0,ChIJ2ZTe1FXzWYgRMJ2sFRCh74w,"{'northeast': {'lat': 35.5969909, 'lng': -82.55527046970849}, 'southwest': {'lat': 35.59410449999999, 'lng': -82.55796843029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
