id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
90676,https://www.airbnb.com/rooms/90676,20231225202549,2023-12-26,city scrape,Home in Columbus · ★4.82 · 3 bedrooms · 3 beds · 2 baths,,"The Short North Italianate Cottage is located in the Short North/ Italian Village neighborhood. Italian Village offers a plethora of breweries, coffee shops, and restaurants tucked within the neighborhood boarders and the Short North is a mile of Columbus's best art galleries, restaurants, nightlife, pubs, and shops! Less than a mile to OSU!!!",https://a0.muscache.com/pictures/950e43cd-53f3-4f6a-8c36-cb123b5580f4.jpg,483306,https://www.airbnb.com/users/show/483306,Audra & Lacey,2011-04-04,"Columbus, OH","Active, young professionals who love to travel and socialize! Audra loves to run, workout, and sip on adult beverages. 
Lacey loves to workout, check out local music & restaurants, and rescue any stray animal she sees. 
",within an hour,100%,100%,t,https://a0.muscache.com/im/users/483306/profile_pic/1413761624/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/483306/profile_pic/1413761624/original.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'work_email']",t,t,"Columbus, Ohio, United States",Near North/University,,39.98366,-83.00252,Entire home,Entire home/apt,6,,2 baths,,3,[],$132.00,1,365,1,1,365,365,1.0,365.0,,t,0,0,0,0,2023-12-26,726,101,9,2011-10-11,2023-12-17,4.82,4.85,4.82,4.93,4.88,4.93,4.77,2022-2475,f,3,3,0,0,4.88
543140,https://www.airbnb.com/rooms/543140,20231225202549,2023-12-25,city scrape,Home in Columbus · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,,We are close to a lot of things!,https://a0.muscache.com/pictures/e720cdf0-e36b-45e0-b340-72ab94f97db1.jpg,2350409,https://www.airbnb.com/users/show/2350409,Edward,2012-05-11,"Columbus, OH","Hello, hello.

About me: pretty easy going, basically.
Hobbies include gardening, woodworking, running, boxing, science, writing, photography, and some others.

That is all.",within an hour,90%,100%,t,https://a0.muscache.com/im/pictures/user/7d46ebbe-c34a-46ff-b688-9243f44c4114.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7d46ebbe-c34a-46ff-b688-9243f44c4114.jpg?aki_policy=profile_x_medium,,3,4,"['email', 'phone', 'work_email']",t,f,"Columbus, Ohio, United States",Near North/University,,40.01114,-83.01005,Private room in home,Private room,1,,1 shared bath,,1,[],$29.00,7,1125,7,7,1125,1125,7.0,1125.0,,t,16,25,52,327,2023-12-25,133,10,1,2012-07-31,2023-12-09,4.7,4.75,4.33,4.93,4.89,4.77,4.79,2019-1344,f,3,0,3,0,0.96
591101,https://www.airbnb.com/rooms/591101,20231225202549,2023-12-26,city scrape,Loft in Columbus · ★4.92 · 1 bedroom · 1 bed · 1 private bath,,"A historic neighborhood of beautiful victorian homes on lovely tree lined streets, located just a short walk from the downtown, the Main Library, Art Museum and Topiary Park (great for walking or jogging).  <br />There are plenty of places to eat, drink and have fun only a few steps away ( coffee house, pizza parlor, tavern, restaurant, brewery and more.)",https://a0.muscache.com/pictures/32b28442-ddf3-435d-8135-a504b86ff23a.jpg,2889677,https://www.airbnb.com/users/show/2889677,Gail,2012-07-10,"Columbus, OH","My husband Eric and I are both artists, sharing studio space in our house. We have 2 daughters and 3 grandchildren, all of whom live in Columbus.  I've been a yoga teacher since 1988. I have taught at Yoga on High since it's inception in 2000 and earned my certification from Yoga Alliance of ERYT 1500 at Yoga on High. I love sharing this ancient practice with all kinds of people. I have seen it have profound effects on people's lives. It is an honor and a responsibility for which I am very grateful. 
 Eric and I have lived in this historic home for over 35 years, in what we consider the best neighborhood in the city, Olde Towne. We love sharing our home with friends and now airbnb guests. We enjoy walking in the woods, gardening, biking, kayaking, reading and, of course, practicing yoga. 
We also love to travel. We've been told we are easy guests. We like to take care of ourselves and not add unduly to our hosts workload. Car camping is a favorite vacation of ours.
 I'd say our airbnb hosting style is also casual: I try to think of anything a guest might need and supply it, so they can have a relaxed stay with us. We have maps of the neighborhood and menus for the local cafes and the bakery in a notebook in The Loft. We try to help out with rides when we can. We have a table in The Loft that is perfect for working or dining. A guest set up her sewing machine up there.
My favorite quote is from Emmanuel: ""Your life is not your master, it is your child."" Let us host your next visit to Columbus as you create your perfect visit.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/e7975b19-3cbd-4f4d-9f34-340eaaf9e0aa.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e7975b19-3cbd-4f4d-9f34-340eaaf9e0aa.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,"Columbus, Ohio, United States",Near East,,39.96041,-82.98005,Private room in loft,Private room,2,,1 private bath,,1,[],$110.00,2,30,2,2,1125,1125,2.0,1125.0,,t,0,0,0,0,2023-12-26,296,19,0,2012-08-10,2023-11-12,4.92,4.93,4.93,4.96,4.91,4.89,4.88,2019-1230,f,1,0,1,0,2.14
923248,https://www.airbnb.com/rooms/923248,20231225202549,2023-12-25,city scrape,Hostel in Columbus · ★4.74 · 1 bedroom · 5 beds · 3 shared baths,,"We are located in the vibrant University District.  There are many shops, bars, restaurants, concert venues, and museums within the neighborhood. We are just a short walk (or ride on the free shuttle bus) from The Ohio State University campus.",https://a0.muscache.com/pictures/29aabf51-4e6f-4ede-aa0b-543372537728.jpg,4965048,https://www.airbnb.com/users/show/4965048,Mathew,2013-02-04,"Pāhoa, HI",I'm an outgoing type who values the experience of travel.  Airbnb helps me to afford to travel more.  I love meeting new people.  I grew up in a Bed & Breakfast so hosting comes naturally to me.  ,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-4965048/original/766ea068-9e65-4a49-9782-0be26721d720.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-4965048/original/766ea068-9e65-4a49-9782-0be26721d720.jpeg?aki_policy=profile_x_medium,Hilo,24,25,"['email', 'phone', 'work_email']",t,t,"Columbus, Ohio, United States",Near North/University,,40.01259,-83.00164,Shared room in hostel,Shared room,1,,3 shared baths,,5,[],$30.00,1,1125,1,1,1,1125,1.0,74.7,,t,27,57,80,349,2023-12-25,348,54,0,2013-02-26,2023-11-23,4.74,4.79,4.73,4.88,4.9,4.68,4.84,2019-1314,f,8,2,4,2,2.64
927867,https://www.airbnb.com/rooms/927867,20231225202549,2023-12-25,city scrape,Hostel in Columbus · ★4.72 · 1 bedroom · 1 bed · 3 shared baths,,"We are located in the vibrant University District.  There are many shops, bars, restaurants, concert venues, and museums within the neighborhood. We are just a short walk (or ride on the free shuttle bus) from The Ohio State University campus.",https://a0.muscache.com/pictures/08033ebe-286c-45aa-a339-970d30a348ff.jpg,4965048,https://www.airbnb.com/users/show/4965048,Mathew,2013-02-04,"Pāhoa, HI",I'm an outgoing type who values the experience of travel.  Airbnb helps me to afford to travel more.  I love meeting new people.  I grew up in a Bed & Breakfast so hosting comes naturally to me.  ,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-4965048/original/766ea068-9e65-4a49-9782-0be26721d720.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-4965048/original/766ea068-9e65-4a49-9782-0be26721d720.jpeg?aki_policy=profile_x_medium,Hilo,24,25,"['email', 'phone', 'work_email']",t,t,"Columbus, Ohio, United States",Near North/University,,40.01259,-83.00164,Private room in hostel,Private room,2,,3 shared baths,,1,[],$73.00,1,365,1,1,30,365,1.0,38.5,,t,20,47,70,336,2023-12-25,76,9,0,2013-09-11,2023-10-28,4.72,4.84,4.55,4.89,4.91,4.7,4.74,2019-1314,f,8,2,4,2,0.61
1183297,https://www.airbnb.com/rooms/1183297,20231225202549,2023-12-26,city scrape,Home in Columbus · ★4.92 · 3 bedrooms · 3 beds · 2 baths,,"German Village is a historic neighborhood just south of downtown Columbus, Ohio. Beautiful brick homes, original brick streets and gorgeous landscapes adorn the neighborhood. Walking distance to Schiller park, the book loft and too many amazing local restaurants to list. German Village is the gem of Columbus.",https://a0.muscache.com/pictures/miso/Hosting-1183297/original/02e44138-23d6-4f82-8a97-953bb9b3cc86.jpeg,6473080,https://www.airbnb.com/users/show/6473080,Samuel,2013-05-19,"London, United Kingdom",I love traveling and learning new experiences with a positive attitude on life.,within a few hours,100%,96%,t,https://a0.muscache.com/im/pictures/user/20b49300-f170-45ed-82c8-9402e3cb5a18.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/20b49300-f170-45ed-82c8-9402e3cb5a18.jpg?aki_policy=profile_x_medium,South Columbus,1,2,"['email', 'phone']",t,t,"Columbus, Ohio, United States",Near South,,39.95164,-82.99434,Entire home,Entire home/apt,6,,2 baths,,3,[],$185.00,30,365,4,4,365,365,4.0,365.0,,t,29,56,86,175,2023-12-26,84,26,0,2021-10-10,2023-11-19,4.92,4.92,4.94,4.95,4.98,4.77,4.81,,f,1,1,0,0,3.12
1217678,https://www.airbnb.com/rooms/1217678,20231225202549,2023-12-25,city scrape,Home in Columbus · ★4.97 · 1 bedroom · 1 bed · 1.5 shared baths,,"The house is on a quiet and residential street located in Clintonville just two minutes from I-71, SR315  and the OSU district making us centrally located to most of Columbus.   The Clintonville Farmers' Market is just a few minute walk and a great place to go on Saturdays in the summer or fall. You can also run or bike on the Olentangy River Trail near the house, which covers 13 miles along the Olentangy River from downtown Columbus to suburban Worthington.<br />If you have any other questions about the house, the location, or us feel free to ask!",https://a0.muscache.com/pictures/airflow/Hosting-1217678/original/31b700de-4a2e-4b05-8006-164beac735d8.jpg,5707733,https://www.airbnb.com/users/show/5707733,Douglas & Russell,2013-03-31,"Columbus, OH","We enjoy hosting other people in our home. From neighbors for cocktail hour to hosting out of town family, we thrive on making the experience in our home one they won't forget and desire to come back to time and time again.",within an hour,100%,100%,t,https://a0.muscache.com/im/users/5707733/profile_pic/1376761183/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5707733/profile_pic/1376761183/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Columbus, Ohio, United States",Clintonville,,40.03869,-83.01728,Private room in home,Private room,2,,1.5 shared baths,,1,[],$85.00,1,120,1,1,120,120,1.0,120.0,,t,27,47,75,346,2023-12-25,233,17,0,2013-06-30,2023-11-13,4.97,4.99,4.99,4.98,4.98,4.96,4.93,2023-4020,f,2,0,2,0,1.82
1286887,https://www.airbnb.com/rooms/1286887,20231225202549,2023-12-26,city scrape,Home in Columbus · ★4.98 · 2 bedrooms · 2 beds · 2.5 baths,,"Welcome to German Village, one of the most storied urban neighborhoods in the U.S. We are an energetic, eclectic mashup of modern lifestyles enjoying the best shops, restaurants and parks found anywhere, against a backdrop of historic brick streets and houses. Listed on the National Register of Historic Places since 1971. German Village is not just preserved architecture from the 1800s; it is the aggregation of more than 150 years of the stories of area people, families and businesses. Character lives on!<br /><br />The house is located in the heart of the village among established tree lines, beautiful brick homes, brick streets, ironwork and brick sidewalks. It's like living in a giant park. We are on a lively corner. Next door is our local-made gift shop, The Red Stable, and Schmidt's Sausage Haus, a very popular destination restaurant and tourist attraction. There are several other restaurants, bars, shops and parks in the neighborhood. <br /><br />Just north of us is downtown Colu",https://a0.muscache.com/pictures/19526827/1086599a_original.jpg,78761,https://www.airbnb.com/users/show/78761,Jeff & Stevo,2010-02-07,"Columbus, OH","Hi, I'm Jeff. I live work & play in German Village and downtown Columbus! I graduated from OSU in Hospitality Management and have a small design firm in the neighborhood. My partner Stevo is from Croatia and speaks 5 languages.  Our pup is GiGi! We welcome you to enjoy our home away from home, nestled in the heart of German Village.",within a few hours,100%,100%,t,https://a0.muscache.com/im/users/78761/profile_pic/1440953280/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/78761/profile_pic/1440953280/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Columbus, Ohio, United States",Near South,,39.94548,-82.99245,Entire home,Entire home/apt,4,,2.5 baths,,2,[],$248.00,3,365,3,3,365,365,3.0,365.0,,t,24,54,84,348,2023-12-26,179,11,0,2013-08-23,2023-11-21,4.98,4.98,4.99,4.98,5.0,4.98,4.89,2019-1888,f,1,1,0,0,1.42
1336145,https://www.airbnb.com/rooms/1336145,20231225202549,2023-12-25,city scrape,Home in Columbus · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,,"The house is on a quiet and residential street located in Clintonville just two minutes from I-71, SR315  and the OSU district making us centrally located to most of Columbus.   The Clintonville Farmers' Market is just a few minute walk and a great place to go on Saturdays in the summer or fall. You can also run or bike on the Olentangy River Trail near the house, which covers 13 miles along the Olentangy River from downtown Columbus to suburban Worthington.<br />If you have any other questions about the house, the location, or us feel free to ask!",https://a0.muscache.com/pictures/airflow/Hosting-1336145/original/cfc30977-ab85-4c9c-aaec-9abd2c569efe.jpg,5707733,https://www.airbnb.com/users/show/5707733,Douglas & Russell,2013-03-31,"Columbus, OH","We enjoy hosting other people in our home. From neighbors for cocktail hour to hosting out of town family, we thrive on making the experience in our home one they won't forget and desire to come back to time and time again.",within an hour,100%,100%,t,https://a0.muscache.com/im/users/5707733/profile_pic/1376761183/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5707733/profile_pic/1376761183/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Columbus, Ohio, United States",Clintonville,,40.0369,-83.01677,Private room in home,Private room,2,,1.5 shared baths,,1,[],$85.00,1,120,1,1,120,120,1.0,120.0,,t,22,42,70,334,2023-12-25,180,15,0,2013-08-28,2023-11-20,4.95,4.98,4.99,4.97,4.98,4.98,4.9,2023-4020,f,2,0,2,0,1.43
1520102,https://www.airbnb.com/rooms/1520102,20231225202549,2023-12-25,city scrape,Hostel in Columbus · ★4.85 · 1 bedroom · 3 beds · 3 shared baths,,"We are located in the vibrant University District.  There are many shops, bars, restaurants, concert venues, and museums within the neighborhood. We are just a short walk (or ride on the free shuttle bus) from The Ohio State University campus.",https://a0.muscache.com/pictures/37f78462-1c0d-4177-b92d-1a4181369b7b.jpg,4965048,https://www.airbnb.com/users/show/4965048,Mathew,2013-02-04,"Pāhoa, HI",I'm an outgoing type who values the experience of travel.  Airbnb helps me to afford to travel more.  I love meeting new people.  I grew up in a Bed & Breakfast so hosting comes naturally to me.  ,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-4965048/original/766ea068-9e65-4a49-9782-0be26721d720.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-4965048/original/766ea068-9e65-4a49-9782-0be26721d720.jpeg?aki_policy=profile_x_medium,Hilo,24,25,"['email', 'phone', 'work_email']",t,t,"Columbus, Ohio, United States",Near North/University,,40.01259,-83.00164,Shared room in hostel,Shared room,1,,3 shared baths,,3,[],$32.00,1,1125,1,1,1,1125,1.0,274.9,,t,0,0,19,286,2023-12-25,54,7,0,2014-02-10,2023-08-06,4.85,4.81,4.68,4.89,4.87,4.7,4.87,2019-1314,f,8,2,4,2,0.45
