id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
40669,https://www.airbnb.com/rooms/40669,20231222023442,2023-12-23,city scrape,Condo in Jersey City · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,,"The neighborhood is very diverse & friendly shopping/restaurants on Central Avenue absolutely adorable very safe to walk to. The Neighborhood has a beautiful park walking distance ❤️ read a book ride your bike , rollerblade or just simply relax along the resting area ❤️ the park also has a pool / skating rink/ ice hockey very nice, this park is called Pershing Fields NJ",https://a0.muscache.com/pictures/af7e4a45-0118-4e9b-81c2-de396140d1ae.jpg,175412,https://www.airbnb.com/users/show/175412,Skyy,2010-07-20,"Jersey City, NJ","I am the owner of a high end Nail Salon in the area and I work long days.  I was born and raised in the Mid-West so I have old fashion traditions and values. I consider myself to be a socialite; friendly and easy going. My home is my sanctuary, always clean and extremely peaceful. I love to work out at the gym, pamper my dog and spend time with my child Logan ! The Milk room is infant ready , we supply a baby crib up to age three /60lbs. ",within a few hours,90%,79%,f,https://a0.muscache.com/im/users/175412/profile_pic/1357141469/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/175412/profile_pic/1357141469/original.jpg?aki_policy=profile_x_medium,,1,4,"['email', 'phone']",t,f,"Jersey City, New Jersey, United States",Ward C (councilmember Richard Boggiano),,40.73724,-74.0531,Private room in condo,Private room,2,,1 shared bath,,1,[],$128.00,5,365,5,5,365,365,5.0,365.0,,t,0,0,0,0,2023-12-23,16,6,1,2010-09-23,2023-12-09,5.0,5.0,5.0,5.0,5.0,4.94,4.94,,f,1,0,1,0,0.10
215768,https://www.airbnb.com/rooms/215768,20231222023442,2023-12-22,city scrape,Home in Jersey City · ★4.78 · 1 bedroom · 2 beds · 1 bath,,"Such close proximity to NYC, 7 minutes on the Path  Train to World Trade Center, 25 Mins to Empire State Building in NYC.",https://a0.muscache.com/pictures/miso/Hosting-215768/original/788989bf-d003-4ca8-a395-8f89734185d4.jpeg,846837,https://www.airbnb.com/users/show/846837,Charlaine,2011-07-20,"Jersey City, NJ","Thank you for taking the time to learn a bit about me. My family and I have been proud residents of Jersey City, New Jersey for over a decade, and we truly believe it's a remarkable place to call home. Along with my love for travel, I've had the opportunity to explore various parts of Europe, Asia, and Africa. Among all the wonderful destinations, Tahiti holds a special place in my heart—it felt like paradise on Earth.",within a few hours,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-846837/original/8493a3e2-9965-479c-992f-e9d46b595a49.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-846837/original/8493a3e2-9965-479c-992f-e9d46b595a49.jpeg?aki_policy=profile_x_medium,,2,4,"['email', 'phone']",t,t,"Jersey City, New Jersey, United States",Ward F (councilmember Jermaine D. Robinson),,40.71438,-74.0581,Entire home,Entire home/apt,4,,1 bath,,2,[],$157.00,3,1000,3,4,1000,1000,3.3,1000.0,,t,17,47,77,322,2023-12-22,177,20,1,2011-09-13,2023-12-05,4.78,4.78,4.89,4.86,4.88,4.34,4.8,STR20-00055,f,2,2,0,0,1.18
254245,https://www.airbnb.com/rooms/254245,20231222023442,2023-12-22,city scrape,Home in Jersey City · ★4.76 · 1 bedroom · 1 bed · 1 bath,,"Such close proximity to NYC, 7 minutes on the Path  Train to World Trade Center, 25 Mins to Empire State Building in NYC.",https://a0.muscache.com/pictures/miso/Hosting-254245/original/0b87b511-2940-42a6-b0e9-e6d94e66d02a.jpeg,846837,https://www.airbnb.com/users/show/846837,Charlaine,2011-07-20,"Jersey City, NJ","Thank you for taking the time to learn a bit about me. My family and I have been proud residents of Jersey City, New Jersey for over a decade, and we truly believe it's a remarkable place to call home. Along with my love for travel, I've had the opportunity to explore various parts of Europe, Asia, and Africa. Among all the wonderful destinations, Tahiti holds a special place in my heart—it felt like paradise on Earth.",within a few hours,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-846837/original/8493a3e2-9965-479c-992f-e9d46b595a49.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-846837/original/8493a3e2-9965-479c-992f-e9d46b595a49.jpeg?aki_policy=profile_x_medium,,2,4,"['email', 'phone']",t,t,"Jersey City, New Jersey, United States",Ward F (councilmember Jermaine D. Robinson),,40.7116207886933,-74.06179163456633,Entire home,Entire home/apt,2,,1 bath,,1,[],$156.00,3,365,3,4,365,365,3.3,365.0,,t,18,48,78,332,2023-12-22,127,7,0,2011-11-21,2023-11-03,4.76,4.78,4.9,4.91,4.83,4.32,4.74,STR20-00055,f,2,2,0,0,0.86
269266,https://www.airbnb.com/rooms/269266,20231222023442,2023-12-22,city scrape,Rental unit in Jersey City · ★4.37 · 2 bedrooms · 3 beds · 1 bath,,"Our House is located in the Liberty State Park neighborhood and you are invited to enjoy the private large two bedrooms apartment  on second floor .The kitchen is completely new and is fully supplied with dishes and cookware, and has a gas range, stainless steel refrigerator, granite counter top, microwave and dishwasher. Fresh bedding linens and towels are included. <br /><br />There is also free street parking for those with a car.<br /><br />Location is great. Just 25 - 40 minutes by convenient public transportation to Manhattan and just 10 minutes by car. Walking distance to Liberty State Park with beautiful views of Manhattan, there is recreation area, jogging paths, playground, barbecue areas, Science Museum and the ferry to Ellis Island and the Statue of Liberty. <br /><br />There is 10- 15 minutes walk from historic downtown Jersey City with trendy restaurants, bars, and shops. From there you can take the PATH subway to Manhattan (2 stops to the World Trade Center or 4-5 stops ",https://a0.muscache.com/pictures/miso/Hosting-269266/original/b89ae7d4-5939-4db0-b998-3fe8679012d1.jpeg,1410590,https://www.airbnb.com/users/show/1410590,Magda,2011-11-15,"Jersey City, NJ",I am living in New York City area  for several years but I was born in Europe. I enjoy traveling and meeting new people.,within an hour,100%,100%,f,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_x_medium,Bergen-Lafayette,12,18,"['email', 'phone']",t,f,"Jersey City, New Jersey, United States",Ward F (councilmember Jermaine D. Robinson),,40.71135,-74.06374,Entire rental unit,Entire home/apt,5,,1 bath,,3,[],$160.00,3,365,3,7,1125,1125,4.3,1125.0,,t,15,45,75,310,2023-12-22,424,20,1,2011-11-25,2023-11-26,4.37,4.64,4.56,4.7,4.66,3.85,4.46,,t,12,1,11,0,2.88
270245,https://www.airbnb.com/rooms/270245,20231222023442,2023-12-22,city scrape,Townhouse in Jersey City · ★4.56 · 1 bedroom · 1 bed · 1 private bath,,,https://a0.muscache.com/pictures/miso/Hosting-270245/original/5a73650d-3e70-401a-a8ff-6a3a73cd7dd5.jpeg,1410590,https://www.airbnb.com/users/show/1410590,Magda,2011-11-15,"Jersey City, NJ",I am living in New York City area  for several years but I was born in Europe. I enjoy traveling and meeting new people.,within an hour,100%,100%,f,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_x_medium,Bergen-Lafayette,12,18,"['email', 'phone']",t,f,,Ward F (councilmember Jermaine D. Robinson),,40.7134,-74.06489,Private room in townhouse,Private room,1,,1 private bath,,1,[],$60.00,3,365,3,7,1125,1125,4.3,1125.0,,t,13,33,50,296,2023-12-22,304,26,2,2011-12-17,2023-11-26,4.56,4.68,4.71,4.73,4.71,3.99,4.59,,t,12,1,11,0,2.08
271255,https://www.airbnb.com/rooms/271255,20231222023442,2023-12-22,city scrape,Townhouse in Jersey City · ★4.42 · 1 bedroom · 3 beds · 1 private bath,,,https://a0.muscache.com/pictures/miso/Hosting-271255/original/92bd73c2-cb95-42a3-870f-b0e8fdf65b7b.jpeg,1410590,https://www.airbnb.com/users/show/1410590,Magda,2011-11-15,"Jersey City, NJ",I am living in New York City area  for several years but I was born in Europe. I enjoy traveling and meeting new people.,within an hour,100%,100%,f,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_x_medium,Bergen-Lafayette,12,18,"['email', 'phone']",t,f,,Ward F (councilmember Jermaine D. Robinson),,40.71161,-74.06327,Private room in townhouse,Private room,5,,1 private bath,,3,[],$89.00,2,365,2,7,1125,1125,3.6,1125.0,,t,7,35,62,274,2023-12-22,361,36,0,2012-04-16,2023-11-17,4.42,4.58,4.68,4.68,4.61,3.87,4.42,,t,12,1,11,0,2.54
508581,https://www.airbnb.com/rooms/508581,20231222023442,2023-12-22,city scrape,Rental unit in Jersey City · ★4.46 · 1 bedroom · 2 beds · 1 bath,,,https://a0.muscache.com/pictures/6725344/a82a66f6_original.jpg,2506890,https://www.airbnb.com/users/show/2506890,Zachary,2012-05-30,"South Orange, NJ","I am a finance/real estate wannabe.  Grew up in NYC and enjoy helping people get the most of it!  Love surfing, kayaking, exotic food, Taekwondo, fishing, swimming, grillin/BBQ, and aquaponics.  I studied abroad in Shanghai and speak some Mandarin Chinese.  NYU Masters degree.",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/2506890/profile_pic/1338435425/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2506890/profile_pic/1338435425/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Ward E (councilmember James Solomon),,40.71987,-74.04472,Entire rental unit,Entire home/apt,4,,1 bath,,2,[],$139.00,28,365,28,28,365,365,28.0,365.0,,t,0,0,0,234,2023-12-22,58,0,0,2012-07-16,2022-04-30,4.46,4.68,4.46,4.89,4.7,4.74,4.39,,f,1,1,0,0,0.42
675483,https://www.airbnb.com/rooms/675483,20231222023442,2023-12-22,city scrape,Townhouse in Jersey City · ★4.77 · 1 bedroom · 1 bed · 1 private bath,,"Downtown Jersey City is right outside of Manhattan, and has great restaurants, bars, and shops all within walking distance. There are parks nearby as well. If you walk 10 minutes to the waterfront you will get spectacular views of Manhattan. A large shopping mall and grocery store are also a couple blocks away.  I have lived here over 15 years and feel very safe. <br /><br />Other local attractions include Hoboken and Liberty State Park which has ferry service to the Statue of Liberty, Ellis Island, and Manhattan.",https://a0.muscache.com/pictures/miso/Hosting-675483/original/0aa2942b-89a1-4571-8f7f-7985a64bc9ed.jpeg,2259684,https://www.airbnb.com/users/show/2259684,Leigh,2012-04-30,"Jersey City, NJ","I live in Jersey City and am a WFH graphic artist. I love travel, the beach, and helping people have a great stay in the NYC area.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-2259684/original/b6dbe52f-2267-4733-b9f9-966b8d9c6c9f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-2259684/original/b6dbe52f-2267-4733-b9f9-966b8d9c6c9f.jpeg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,"Jersey City, New Jersey, United States",Ward E (councilmember James Solomon),,40.72315,-74.04179,Private room in townhouse,Private room,2,,1 private bath,,1,[],$119.00,3,28,2,3,1125,1125,2.9,1125.0,,t,12,23,43,43,2023-12-22,392,30,3,2012-09-17,2023-12-12,4.77,4.85,4.7,4.97,4.94,4.83,4.76,STR22-119,f,1,0,1,0,2.86
810860,https://www.airbnb.com/rooms/810860,20231222023442,2023-12-23,city scrape,Rental unit in Jersey City · ★5.0 · 1 bedroom · 2 beds · 1 bath,,"The neighborhood is seconds from ""Little India"", which offers low-budget to formal Indian dining, in addition to Filipino, Latin American, and Egyptian cuisine, reflecting the city's wide ethnic population.  Downtown Jersey City is also minutes away and offers a big variety of Bars and Restaurants.<br /><br />Jersey City is just across the Hudson river, and it's closer and better connected to the heart of Manhattan than some boroughs and locations in New York City. It is literally 10 minutes away from Downtown Manhattan by subway (path train) and 15mn away from Greenwich Village and midtown. The Path Train runs all day and all night on a schedule.",https://a0.muscache.com/pictures/miso/Hosting-810860/original/626aa4d7-098f-4292-a5b2-5bdc3be11578.jpeg,3530754,https://www.airbnb.com/users/show/3530754,Laura,2012-09-10,"Detroit, MI","I am an artist working with movement and stuff. Originally from Italy. 
I travel often with art projects and use airbnb and I equally allow other people to use my house. My place is simple nothing luxurious but with good energy if you are into that, and I try to keep the price affordable.",within a few hours,83%,84%,f,https://a0.muscache.com/im/users/3530754/profile_pic/1384414411/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3530754/profile_pic/1384414411/original.jpg?aki_policy=profile_x_medium,,2,10,"['email', 'phone']",t,t,"Jersey City, New Jersey, United States",Ward C (councilmember Richard Boggiano),,40.72617,-74.06481,Entire rental unit,Entire home/apt,4,,1 bath,,2,[],$100.00,28,366,28,28,366,366,28.0,366.0,,t,6,6,6,239,2023-12-23,5,1,0,2019-03-30,2023-05-26,5.0,5.0,5.0,5.0,5.0,4.8,4.8,,f,1,1,0,0,0.09
818075,https://www.airbnb.com/rooms/818075,20231222023442,2023-12-23,city scrape,Guest suite in Jersey City · ★4.94 · 2 bedrooms · 2 beds · 1 bath,,Our area of Jersey City Heights is quiet and safe and yet just a short bus or train ride to the middle of Manhattan. Guests tell us they enjoy coming back to the quiet of our apartment after a busy day in NYC.,https://a0.muscache.com/pictures/24978455/cebcd31b_original.jpg,4296829,https://www.airbnb.com/users/show/4296829,Harriet,2012-12-01,"Jersey City, NJ",My husband Harry and I work(ed) in the creative arts.  I recently retired. We have lived in this area all of our lives except for two years in London. We have traveled abroad and look forward to meeting people from across the globe.  We are happy to share our insights about where to go in the NYC area.  We have two children who are no longer living at home so we decided to convert our top floor into this lovely vacation rental.  It is a completely separate apartment from our own.  We look forward to having visitors stay in this apartment. We speak some Spanish.,within an hour,100%,87%,t,https://a0.muscache.com/im/users/4296829/profile_pic/1393787648/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4296829/profile_pic/1393787648/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Jersey City, New Jersey, United States",Ward C (councilmember Richard Boggiano),,40.74086,-74.04921,Entire guest suite,Entire home/apt,3,,1 bath,,2,[],$115.00,3,180,1,3,180,180,3.0,180.0,,t,0,9,26,153,2023-12-23,174,17,1,2013-02-10,2023-12-19,4.94,4.96,4.96,4.98,4.97,4.66,4.92,,f,1,1,0,0,1.32
