id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
62033,https://www.airbnb.com/rooms/62033,20231230181028,2023-12-30,city scrape,Home in Newark · ★4.86 · 1 bedroom · 1 bed · 1 bath,,"3 BLOCKS AWAY ; THERE IS A COMMERCIAL STRIP THAT HAS GROCERY STORES , CHINESE TAKE OUT,  FAST FOOD RESTAURANTS, PHARMACIES, COFFEE SHOP , LAUNDRY , ETC",https://a0.muscache.com/pictures/39bd987a-91f8-4e22-8f79-9fa7e84fab36.jpg,301435,https://www.airbnb.com/users/show/301435,Fred,2010-11-27,"Newark, NJ","I was born in South America but make New jersey my home for past 40 years.  Professional , down to earth , energetic personality . Architect who loves furniture , design, art and fashion .  Extensive traveler ; try to travel once every 45 days . Have traveled to singapore ,tel aviv,  mumbai , Rio , Marrakech, Cairo , Berlin , Lima,  ibiza , croatia and more ! yet still more destinations to explore .     I love meeting new people and explore new cultures .  Fitness oriented and an avid cook .   I am also a  furniture collector, love classic  cars ,   as well as rottweiler  lover.   ",within an hour,100%,78%,f,https://a0.muscache.com/im/users/301435/profile_pic/1437134757/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/301435/profile_pic/1437134757/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Newark, New Jersey, United States",North,,40.77278,-74.17206,Private room in home,Private room,1,,1 bath,,1,[],$80.00,2,120,2,2,120,120,2.0,120.0,,t,27,57,87,362,2023-12-30,77,3,0,2011-03-29,2023-10-16,4.86,4.95,4.83,4.91,4.92,4.73,4.85,,f,1,0,1,0,0.50
1975091,https://www.airbnb.com/rooms/1975091,20231230181028,2023-12-31,city scrape,Home in Newark · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,,Great location for medical and dental students or if you  want to visit NYC on a budget.,https://a0.muscache.com/pictures/74210735/f0a91e8f_original.jpg,9169027,https://www.airbnb.com/users/show/9169027,Kimberly B,2013-10-01,"Newark, NJ","Hello World!!!  Welcome to Newark N.J.!!!!!  I love to decorate, garden.  I love airbnb its like a job where people pay you, to make new friends!  ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-9169027/original/bfb00d6a-608d-4cc5-97bd-39b9a003cba1.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-9169027/original/bfb00d6a-608d-4cc5-97bd-39b9a003cba1.jpeg?aki_policy=profile_x_medium,,5,8,"['email', 'phone']",t,t,"Newark, New Jersey, United States",West,,40.74492,-74.19763,Private room in home,Private room,2,,1 shared bath,,1,[],$50.00,10,300,10,10,1125,1125,10.0,1125.0,,t,0,0,15,290,2023-12-31,93,8,0,2014-05-05,2023-10-26,4.7,4.82,4.68,4.96,4.9,3.9,4.72,,t,5,0,5,0,0.79
2159185,https://www.airbnb.com/rooms/2159185,20231230181028,2023-12-31,city scrape,Home in Newark · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,,,https://a0.muscache.com/pictures/80976212/abec3380_original.jpg,9169027,https://www.airbnb.com/users/show/9169027,Kimberly B,2013-10-01,"Newark, NJ","Hello World!!!  Welcome to Newark N.J.!!!!!  I love to decorate, garden.  I love airbnb its like a job where people pay you, to make new friends!  ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-9169027/original/bfb00d6a-608d-4cc5-97bd-39b9a003cba1.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-9169027/original/bfb00d6a-608d-4cc5-97bd-39b9a003cba1.jpeg?aki_policy=profile_x_medium,,5,8,"['email', 'phone']",t,t,,West,,40.74447,-74.19457,Private room in home,Private room,1,,1 shared bath,,1,[],$48.00,9,1125,9,9,1125,1125,9.0,1125.0,,t,0,29,59,334,2023-12-31,99,4,1,2014-03-31,2023-12-10,4.87,4.89,4.92,4.95,4.94,4.18,4.74,,f,5,0,5,0,0.83
2277901,https://www.airbnb.com/rooms/2277901,20231230181028,2023-12-31,city scrape,Home in Maplewood · ★4.67 · 1 bedroom · 1 bed · 1 private bath,,"Mushaindoro Hospitality suites are a perfect traveler's location for 1) Restaurants - fine & casual dinning; 2) Recreation & Entertainment; and 3) Public transportation  to NYC, Newark Liberty International Airport (with access to shuttle services to JFK & LaGuardia); major shopping malls (Jersey Gardens, Short Hills & Livingston); and the major Universities of NJ (Rutgers, Seaton Hall,  NJIT, University Hospital, Kean and Montclair Universities). In addition, our photos are Airbnb verified which means, what you see is exactly what our luxury suites offer.<br /><br />Our restaurants comprise of high-end multicultural restaurants of Maplewood and South Orange villages.  Coffee houses, diners, ethnic and gourmet restaurants offer everything from morning coffee and bagels to late night cafe latte. We also have a variety of exotic fast food take-out establishments that deliver like sushi, Chinese, Italian, Ethiopian, Mexican, Caribbean cuisine, Papa John’s, Dominos and many more. Then we h",https://a0.muscache.com/pictures/d89a51a0-e47b-41b6-b243-55671b4723b9.jpg,11308972,https://www.airbnb.com/users/show/11308972,Tendai D,2014-01-14,"Maplewood, NJ","Welcome to Mushaindoro Hospitality Suites, the Jewel in African Hospitality. I am your host and proprietor Tendai.  Originally from Zimbabwe, Mushaindoro Hospitality Suites gives me the opportunity to share my traditional Shona culture, blended with my acquired American experiences.  Our suites are names after Shona trees, mostly wild fruit trees that grow in this southern African savanna region of  the continent.  Having traveled a lot, I know what I love about a great stay, therefore I strive to offer my guests an authentic memorable homespitality experience. Our motto is  WE are the jewel  in African Hospitality and we make the best efforts to meet our guests' expectations. I look forward to meeting and hosting you.",within a few hours,90%,98%,t,https://a0.muscache.com/im/pictures/user/User-11308972/original/54dc7f7c-e487-460e-83ab-b3414fb39907.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-11308972/original/54dc7f7c-e487-460e-83ab-b3414fb39907.jpeg?aki_policy=profile_x_medium,,4,10,"['email', 'phone', 'work_email']",t,t,"Maplewood, New Jersey, United States",West,,40.73465,-74.24753,Private room in home,Private room,2,,1 private bath,,1,[],$75.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,11,41,71,338,2023-12-31,61,11,0,2014-06-19,2023-11-24,4.67,4.77,4.74,4.87,4.8,4.56,4.7,,t,2,1,1,0,0.53
2279324,https://www.airbnb.com/rooms/2279324,20231230181028,2023-12-31,city scrape,Rental unit in Maplewood · ★4.54 · 1 bedroom · 3 beds · 1 bath,,"Mushaindoro Hospitality suites are a perfect traveler's location for a home away from home with access to great amenities: 1) Restaurants - fine & casual dining; 2) Recreation & Entertainment; and 3) Public transportation to NYC, Newark Liberty International Airport (with access to shuttle services to JFK & LaGuardia); major shopping malls (Jersey Gardens, Short Hills & Livingston); and the major Universities of NJ (Rutgers, Seaton Hall, NJIT, University Hospital, Kean and Montclair Universities). In addition, our photos are Airbnb verified which means, what you see is exactly what our luxury suites offer.<br />Our restaurants comprise of high-end multicultural restaurants of Maplewood and South Orange villages. Coffee houses, diners, ethnic and gourmet restaurants offer everything from morning coffee and bagels to late night cafe latte. We also have a variety of exotic fast food take-out establishments that deliver like sushi, Chinese, Italian, Ethiopian, Mexican, Caribbean cuisine, P",https://a0.muscache.com/pictures/79fa48ac-fb55-4408-b61c-cf5c35e6972a.jpg,11308972,https://www.airbnb.com/users/show/11308972,Tendai D,2014-01-14,"Maplewood, NJ","Welcome to Mushaindoro Hospitality Suites, the Jewel in African Hospitality. I am your host and proprietor Tendai.  Originally from Zimbabwe, Mushaindoro Hospitality Suites gives me the opportunity to share my traditional Shona culture, blended with my acquired American experiences.  Our suites are names after Shona trees, mostly wild fruit trees that grow in this southern African savanna region of  the continent.  Having traveled a lot, I know what I love about a great stay, therefore I strive to offer my guests an authentic memorable homespitality experience. Our motto is  WE are the jewel  in African Hospitality and we make the best efforts to meet our guests' expectations. I look forward to meeting and hosting you.",within a few hours,90%,98%,t,https://a0.muscache.com/im/pictures/user/User-11308972/original/54dc7f7c-e487-460e-83ab-b3414fb39907.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-11308972/original/54dc7f7c-e487-460e-83ab-b3414fb39907.jpeg?aki_policy=profile_x_medium,,4,10,"['email', 'phone', 'work_email']",t,t,"Maplewood, New Jersey, United States",West,,40.73392,-74.24569,Entire rental unit,Entire home/apt,4,,1 bath,,3,[],$90.00,5,1125,5,5,1125,1125,5.0,1125.0,,t,24,54,84,359,2023-12-31,63,1,0,2014-05-09,2023-08-31,4.54,4.59,4.67,4.7,4.76,4.49,4.59,,f,2,1,1,0,0.54
2695185,https://www.airbnb.com/rooms/2695185,20231230181028,2023-12-31,city scrape,Home in Newark · ★4.77 · 1 bedroom · 2 beds · 1 private bath,,"Great easy access to public transport, freedom.",https://a0.muscache.com/pictures/74915465/933fdeb2_original.jpg,9169027,https://www.airbnb.com/users/show/9169027,Kimberly B,2013-10-01,"Newark, NJ","Hello World!!!  Welcome to Newark N.J.!!!!!  I love to decorate, garden.  I love airbnb its like a job where people pay you, to make new friends!  ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-9169027/original/bfb00d6a-608d-4cc5-97bd-39b9a003cba1.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-9169027/original/bfb00d6a-608d-4cc5-97bd-39b9a003cba1.jpeg?aki_policy=profile_x_medium,,5,8,"['email', 'phone']",t,t,"Newark, New Jersey, United States",West,,40.74623,-74.19658,Private room in home,Private room,2,,1 private bath,,2,[],$62.00,10,300,10,10,1125,1125,10.0,1125.0,,t,19,49,79,354,2023-12-31,112,7,1,2014-09-21,2023-12-11,4.77,4.89,4.86,4.96,4.92,3.92,4.7,,f,5,0,5,0,0.99
2927685,https://www.airbnb.com/rooms/2927685,20231230181028,2023-12-31,city scrape,Home in Newark · ★4.85 · 1 bedroom · 2 beds · 1 shared bath,,My listings are very popular because of the physical location easy affordable access to NYC and because of all the colleges and hospitals for doctors and dentist and people studying from abroad..but it is Newark so I say if you have to come to Newark my house is the place to be!  Free on street parking.,https://a0.muscache.com/pictures/79825423/6c4e77fb_original.jpg,9169027,https://www.airbnb.com/users/show/9169027,Kimberly B,2013-10-01,"Newark, NJ","Hello World!!!  Welcome to Newark N.J.!!!!!  I love to decorate, garden.  I love airbnb its like a job where people pay you, to make new friends!  ",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-9169027/original/bfb00d6a-608d-4cc5-97bd-39b9a003cba1.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-9169027/original/bfb00d6a-608d-4cc5-97bd-39b9a003cba1.jpeg?aki_policy=profile_x_medium,,5,8,"['email', 'phone']",t,t,"Newark, New Jersey, United States",West,,40.74506,-74.19784,Private room in home,Private room,2,,1 shared bath,,2,[],$48.00,9,1125,9,9,1125,1125,9.0,1125.0,,t,26,56,86,361,2023-12-31,108,6,0,2014-09-08,2023-11-05,4.85,4.92,4.88,4.97,4.93,4.19,4.8,,f,5,0,5,0,0.95
3319300,https://www.airbnb.com/rooms/3319300,20231230181028,2023-12-30,city scrape,Rental unit in Newark · ★4.59 · 1 bedroom · 1 bed · 1 bath,,"The historic Forest Hill Neighborhood of Newark, NJ, is the home of the world famous Cherry Blossom Festival.  It also boasts an impressive collection of colonial and Victorian houses. There is also the Grand Branch Brook Park that offers resident opportunities to residents to exercise or relax.  The neighborhood has easy access to public transportation. It is also convenient to Newark Liberty International Airport (-20 min. drive) and JFK Airport (1 hr. and 15 Minutes . Drive and 1 ½ hr. train.) Within walking distance there are Super Markets and various ethnic restaurants. Neighboring towns of Bloomfield, Clifton, Nutley and Montclair are within easy driving distance.",https://a0.muscache.com/pictures/e2be4721-8345-4d1f-ab08-78b756f728fd.jpg,2034171,https://www.airbnb.com/users/show/2034171,David,2012-03-29,"New York, NY","I am a man who wears many hats. I am an attorney, opera singer, landlord and investor. I love music, theater, ballet, animals and good food.  As a guest, I am always mindful of my host's needs. As a traveler, I have been to England, Scotland,  France, Italy, Hungary, Slovenia, Germany, Czech, and Slovakia. Budapest is my favorite city.  In addition of being fluent in Mandarin and English, I also speak some French, German and Italian",within an hour,100%,100%,f,https://a0.muscache.com/im/users/2034171/profile_pic/1402715290/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2034171/profile_pic/1402715290/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,"Newark, New Jersey, United States",North,,40.78116,-74.1737,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],$72.00,2,25,2,2,25,25,2.0,25.0,,t,10,29,29,29,2023-12-30,156,15,2,2014-06-26,2023-12-12,4.59,4.74,4.54,4.92,4.9,4.65,4.69,,f,1,1,0,0,1.35
4007546,https://www.airbnb.com/rooms/4007546,20231230181028,2023-12-30,city scrape,Rental unit in Newark · ★4.97 · 1 bedroom · 1 bed · 1 private bath,,"Centrally located close to all the restaurants, shops, cafes, bakeries and entertainment venues in the area. Train station is a short walk up the street.",https://a0.muscache.com/pictures/51422665/d6464c67_original.jpg,2734824,https://www.airbnb.com/users/show/2734824,Lei,2012-06-25,"Newark, NJ","I am a tech professional currently working in new jersey. I'm friendly, easy to get along with, and a pleasant host. I have travelled to 4 continents for both work and pleasure, and enjoy meeting people from diverse cultures. I enjoy intelligent conversation and sharing good stories.",N/A,N/A,89%,t,https://a0.muscache.com/im/pictures/user/3791de4f-5cae-4afb-a3e5-03c9b7f4f6b5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3791de4f-5cae-4afb-a3e5-03c9b7f4f6b5.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Newark, New Jersey, United States",East,,40.72855,-74.15917,Private room in rental unit,Private room,2,,1 private bath,,1,[],$67.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,0,0,90,2023-12-30,61,6,0,2014-09-18,2023-09-19,4.97,4.8,4.82,4.87,4.93,4.74,4.79,,f,1,0,1,0,0.54
4015993,https://www.airbnb.com/rooms/4015993,20231230181028,2023-12-30,city scrape,Home in Newark · ★4.96 · 1 bedroom · 1 bed · 1 private bath,,"Tree-lined streets, adjacent to the Olmsted-designed Branch Brook Park, famous for the the thousands of cherry trees blossoming in the spring.  This is space intoxication under an hour from NYC.",https://a0.muscache.com/pictures/53156507/bf15cf2c_original.jpg,20822869,https://www.airbnb.com/users/show/20822869,Tom,2014-09-01,"Newark, NJ","",within an hour,100%,90%,t,https://a0.muscache.com/im/users/20822869/profile_pic/1411405424/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/20822869/profile_pic/1411405424/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,"Newark, New Jersey, United States",North,,40.7672,-74.17303,Private room in home,Private room,1,,1 private bath,,1,[],$82.00,1,90,1,1,90,90,1.0,90.0,,t,22,52,53,230,2023-12-30,45,6,0,2014-11-01,2023-10-17,4.96,4.96,4.8,4.96,5.0,4.8,4.87,,f,1,0,1,0,0.40
