id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
22772,https://www.airbnb.com/rooms/22772,20231231044031,2023-12-31,city scrape,Home in Pacific Grove · ★4.89 · 1 bedroom · 1 bed · 1 bath,,,https://a0.muscache.com/pictures/5075564/b006f794_original.jpg,87827,https://www.airbnb.com/users/show/87827,Amie,2010-03-03,"Pacific Grove, CA","I love living near the ocean here in Pacific Grove and walk daily with my dogs on the beach.I am a hair stylist and own a salon in Carmel, I own and renovate old houses and love to travel to tropical places. I enjoy walking to great restaurants and the  Farmer's market all within two blocks. This is the perfect location!
I hope your wanderings lead you to places you love.",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/87827/profile_pic/1356111368/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/87827/profile_pic/1356111368/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Pacific Grove,,36.62202,-121.91775,Entire home,Entire home/apt,2,,1 bath,,1,[],$293.00,30,120,30,30,120,120,30.0,120.0,,t,24,54,83,83,2023-12-31,62,0,0,2010-05-06,2016-07-24,4.89,4.85,4.82,4.88,4.85,4.97,4.58,,f,2,2,0,0,0.37
41014,https://www.airbnb.com/rooms/41014,20231231044031,2023-12-31,city scrape,Home in Pacific Grove · ★4.94 · 6 bedrooms · 8 beds · 4 baths,,"I call Pacific Grove ""Iowa with a Beach"".  It is a really friendly small town with everything you need within 1 mile of the house. We have a lovely Farmers Market, Natural History Museum, Movie Theater, shops, restaurants, wildlife and butterflies!<br />In May 2015, Trip Advisor chose Pacific Grove as one of the top 12 Scenic Destinations in all of the United States.  You will love it here!",https://a0.muscache.com/pictures/miso/Hosting-41014/original/25ea9955-083d-442f-a0c1-9071ccfdc01e.jpeg,174738,https://www.airbnb.com/users/show/174738,Kirstie,2010-07-20,"Pacific Grove, CA","I love sharing my home with families on vacation, enjoying a reunion or celebrating a special event. 2022 begins my 12th year hosting guests, and I am very grateful to all of you who come back year after year!",within a few hours,100%,100%,f,https://a0.muscache.com/im/pictures/user/bf724168-8bd0-466f-bafa-1356fc9ccbc3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bf724168-8bd0-466f-bafa-1356fc9ccbc3.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Pacific Grove, California, United States",Pacific Grove,,36.63096,-121.93652,Entire home,Entire home/apt,13,,4 baths,,8,[],"$1,400.00",5,1125,5,5,1125,1125,5.0,1125.0,,t,3,19,30,79,2023-12-31,115,2,0,2011-05-16,2023-05-07,4.94,4.92,4.95,4.96,4.95,4.98,4.78,,f,1,1,0,0,0.75
44515,https://www.airbnb.com/rooms/44515,20231231044031,2023-12-31,city scrape,Guesthouse in Pacific Grove · ★4.96 · 1 bedroom · 1 bed · 1 bath,,"Hands down, the best part about our 'hood is the proximity to the ocean.  You can (usually) hear it, and smell it from our house, and see its amazing beauty within a brief walk.  On a clear night, the sunsets are breathtaking.",https://a0.muscache.com/pictures/c182c992-7f98-4274-8744-9c9435e25000.jpg,195732,https://www.airbnb.com/users/show/195732,Blake,2010-08-09,"Pacific Grove, CA","My passion for birdwatching has taken me all over the world.  While I adore international adventures, I also regularly road trip throughout the beautiful west.  I have a 9 year old plus an king-sized 5 year old and enjoy exploring the world through their eyes. We love and show our Irish Wolfhounds.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/8b22daf9-d5ea-45ad-9954-13cb9d4f1a71.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8b22daf9-d5ea-45ad-9954-13cb9d4f1a71.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,"Pacific Grove, California, United States",Pacific Grove,,36.62475,-121.93491,Entire guesthouse,Entire home/apt,2,,1 bath,,1,[],$210.00,30,90,30,30,1125,1125,30.0,1125.0,,t,10,25,26,118,2023-12-31,966,6,0,2010-08-20,2023-10-01,4.96,4.96,4.96,4.96,4.96,4.97,4.93,,f,1,1,0,0,5.94
89210,https://www.airbnb.com/rooms/89210,20231231044031,2023-12-31,city scrape,Guest suite in Pacific Grove · ★4.91 · 1 bedroom · 1 bed · 1 bath,,"This is a safe and quiet neighborhood.  Many of my neighbors have lived here for decades and they're friendly, kind people. There are lots of kids here, so PLEASE drive  no more than 15MPH once you're in the cul-de-sac. Thanks!!",https://a0.muscache.com/pictures/miso/Hosting-89210/original/0ecbe093-5e38-4a94-b3c0-73224ce6e08b.jpeg,130577,https://www.airbnb.com/users/show/130577,Sarah,2010-05-23,"Pacific Grove, CA","Hi Fellow Airbnbers,
I lived in Pacific Grove for seventeen years and after a two year adventure in Nova Scotia, I am back home!  Before Pacific Grove, I was a longtime Bay Area resident (SF and Berkeley) and am a native Californian.  I have had a variety of careers over the years, but my hobby has always been songwriting. You may occasionally hear (muffled) piano playing and singing from the main house. Being an Airbnb host is a perfect fit for me because I genuinely want guests to have a magical stay while they're here. I am an old school  host (over 1300 reviews ) who believes Airbnb is still about people and community.  I do my best to create a space that will help you relax and renew your spirit.",within an hour,100%,89%,t,https://a0.muscache.com/im/pictures/user/858459a0-9635-48b8-81a3-41894b846e7a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/858459a0-9635-48b8-81a3-41894b846e7a.jpg?aki_policy=profile_x_medium,,1,3,['phone'],t,t,"Pacific Grove, California, United States",Pacific Grove,,36.60435,-121.92531,Entire guest suite,Entire home/apt,3,,1 bath,,1,[],$172.00,1,300,1,1,300,300,1.0,300.0,,t,6,14,34,108,2023-12-31,1174,116,8,2011-04-17,2023-12-21,4.91,4.88,4.96,4.97,4.98,4.86,4.79,,f,1,1,0,0,7.59
129723,https://www.airbnb.com/rooms/129723,20231231044031,2023-12-31,city scrape,Condo in Pacific Grove · ★4.67 · 1 bedroom · 1 bed · 1 bath,,Our home is in a centrally located and within walking distance to beach town aquarium and Cannery Row.,https://a0.muscache.com/pictures/7c1cbebb-8870-48ca-8369-4b69076bcb55.jpg,639623,https://www.airbnb.com/users/show/639623,Birgit,2011-05-29,"Pacific Grove, CA","I love to travel. Every summer I visit my family in Germany and Italy. I am a Graphic Designer, so I work wherever I go. I love design which reflects my home, which is clean simple, lots of light and photography. I love photography as well and my daughter followed into my footsteps and got a degree at Brooks Institute, so be prepared to see beautiful art. 
My life's motto: you cant figure out life you have to live it! ;)

Enjoy!",within a few hours,100%,50%,f,https://a0.muscache.com/im/users/639623/profile_pic/1306893832/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/639623/profile_pic/1306893832/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,"Pacific Grove, California, United States",Pacific Grove,,36.62008,-121.90993,Entire condo,Entire home/apt,2,,1 bath,,1,[],$132.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,2,29,59,303,2023-12-31,15,3,0,2014-08-09,2023-06-05,4.67,4.53,4.93,4.93,5.0,5.0,4.6,,f,1,1,0,0,0.13
1031734,https://www.airbnb.com/rooms/1031734,20231231044031,2023-12-31,city scrape,Home in Pacific Grove · ★4.82 · 4 bedrooms · 4 beds · 2 baths,,"The neighborhood is quiet. I have wonderful, very kind, and helpful neighbors. The neighborhood is away from the tourist traffic. You will feel like you are in one of the last small town ocean front communities in the US, yet very close to lots of activity that you may wish to venture to.",https://a0.muscache.com/pictures/acb8ae44-bcbd-43ac-8c41-e6d788675037.jpg,227482,https://www.airbnb.com/users/show/227482,Dan,2010-09-07,"San Jose, CA","World Champion Chef for 2022. Rice and Noodle World Champion. Will compete this May for $100,000 with the other 9 world champions. Interior Designer and host of Bringing it to the Table, farm to table docuseries that we hope to have on Netflix this year.",within a few hours,100%,60%,f,https://a0.muscache.com/im/pictures/user/5fc437fc-a4cb-4258-a13e-08d99f861490.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5fc437fc-a4cb-4258-a13e-08d99f861490.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,f,"Pacific Grove, California, United States",Pacific Grove,,36.60368,-121.92721,Entire home,Entire home/apt,8,,2 baths,,4,[],$350.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,28,56,86,301,2023-12-31,236,1,0,2013-05-13,2023-08-31,4.82,4.73,4.76,4.91,4.93,4.86,4.63,,f,1,1,0,0,1.82
1721186,https://www.airbnb.com/rooms/1721186,20231231044031,2023-12-31,city scrape,Home in Pacific Grove · ★4.90 · 2 bedrooms · 2 beds · 1 bath,,,https://a0.muscache.com/pictures/24474899/779ec928_original.jpg,9073236,https://www.airbnb.com/users/show/9073236,Barb,2013-09-26,"California, United States","We enjoy Pacific Grove and all the activities that the area has to offer like the Monterey Bay Aquarium, the ocean and beach, Carmel, Big Sur, Santa Cruz, and all the fabulous dinning opportunities. Being a family, variety is important and Monterey Bay provides something for everybody!!",within an hour,80%,95%,t,https://a0.muscache.com/im/users/9073236/profile_pic/1380775153/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9073236/profile_pic/1380775153/original.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,,Pacific Grove,,36.62468,-121.91711,Entire home,Entire home/apt,6,,1 bath,,2,[],$470.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2023-12-31,400,66,1,2013-11-11,2023-12-15,4.9,4.91,4.9,4.92,4.9,4.99,4.62,,f,1,1,0,0,3.24
2372344,https://www.airbnb.com/rooms/2372344,20231231044031,2023-12-31,previous scrape,Home in Monterey · ★4.59 · 2 bedrooms · 2 beds · 2 baths,,"Can walk to the famous Cannery Row, coffee shops , restaurants, grocery stores in five minutes. <br />Distance from the property to :<br />Knob Hill 0.3 miles (5 minutes walk)<br />Cannary Row (Aquarium) 0.5 miles ( 7 minutes walk)<br />Safe Way 1.1 miles<br />Trader Joes 1.0 miles<br />Downtown Monterey ( Alvarado St.) 1.9 miles<br />Pebble Beach (Spanish Bay) 2.0 miles<br />Carmel 6 miles",https://a0.muscache.com/pictures/miso/Hosting-2372344/original/19735b64-8c22-4b22-9b59-4f600abcfc3a.jpeg,12118997,https://www.airbnb.com/users/show/12118997,Guita,2014-02-10,"Monterey, CA"," Over the years, I have been fortunate to have rubbed elbows with some of the most talented people in the Hospitality and Real Estate professions.  Little did I know these mentors would prepare me for my Vacation Rental venture this year.

I've also discovered my inner gift for interior decorating.  Casa Amarilla has been a labor-of-love restoring and modernizing this quaint Monterey Cottage...a stone throw from the Aquarium.

My green thumb came back to life as well.  The patio and fenced garden area has blossomed this spring, and soothes one's sole at the end of an active day.  A wood burning pot belly fire-pit and charcoal BBQ enhance this spacious artistic zen-like garden, while taking in the distant Monterey Bay view...our guests favorite!

While staying at Casa Amarilla, don't hesitate to call or text me if you and your group need anything at all!

Sincerely,
Guita   ",a few days or more,0%,67%,f,https://a0.muscache.com/im/pictures/user/1e289e13-11c2-4425-bcf6-ae771f67287c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1e289e13-11c2-4425-bcf6-ae771f67287c.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Monterey, California, United States",Pacific Grove,,36.6154,-121.90866,Entire home,Entire home/apt,4,,2 baths,,2,[],$220.00,30,365,30,30,365,365,30.0,365.0,,t,28,58,88,363,2023-12-31,79,0,0,2014-02-24,2022-03-02,4.59,4.7,4.82,4.88,4.81,4.63,4.5,,f,2,2,0,0,0.66
2552934,https://www.airbnb.com/rooms/2552934,20231231044031,2023-12-31,city scrape,Place to stay in Pacific Grove · ★4.66 · 1 bedroom · 1 bed · 1 private bath,,"What I love about the neighborhood is that it is safe, scenic, a couple blocks to the beach, a short walk to Pebble Beach's Spanish Bay and Seventeen Mile Drive and right around the corner from Asilomar Conference Grounds, a five minute drive to downtown Pacific Grove and Lover's Point, a ten minute drive to Monterey and the Monterey Bay Aquarium, Cannery Row, and the Fisherman's Wharf, a fifteen minute drive to Downtown Carmel and only a forty five minute drive down scenic Hwy 1 to beautiful Big Sur.  Activities in the area include great restaurants and dining, world renown golfing, hiking, biking, walking the scenic coastline, wine tasting, whale watching, kayaking, surfing, scuba diving, art galleries, and the list goes on.",https://a0.muscache.com/pictures/015166ff-38b2-4a11-bad4-3a9abf33d3d0.jpg,13070709,https://www.airbnb.com/users/show/13070709,Jamie,2014-03-12,"Pacific Grove, CA","I have lived on the Monterey Peninsula for thirty four years and have practiced as a Massage Therapist for twenty five years.  I enjoy living in places that offer an abundance of natural beauty and I walk the coastline almost every day with my dogs never taking for granted how blessed I am to be here.  I have traveled to Korea, Japan, Hong Kong, Australia, New Zealand, Canada, Mexico and many places in the United States and have always found it interesting to learn about different cultures and people.  I enjoy cooking as well as a good meal out, receiving massages as well as giving them, time with family and friends, reading a good book, watching a good movie and meeting new and interesting people.  My life motto is to enjoy the journey!",within an hour,100%,99%,f,https://a0.muscache.com/im/users/13070709/profile_pic/1397279203/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/13070709/profile_pic/1397279203/original.jpg?aki_policy=profile_x_medium,,1,6,"['email', 'phone']",t,t,"Pacific Grove, California, United States",Pacific Grove,,36.61667,-121.93322,Private room,Private room,3,,1 private bath,,1,[],$102.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,8,29,52,294,2023-12-31,337,58,3,2014-05-18,2023-12-25,4.66,4.78,4.73,4.89,4.88,4.86,4.74,,f,1,0,1,0,2.88
3029273,https://www.airbnb.com/rooms/3029273,20231231044031,2023-12-31,city scrape,Home in Pacific Grove · ★4.91 · 1 bedroom · 1 bed · 1 bath,,"Friendly neighbors, quaint downtown area, walking and biking trails along coast, Aquarium, Monterey wharf, Kayak rentals, Bike rentals, fishing, diving and much more.",https://a0.muscache.com/pictures/38816439/7fd49979_original.jpg,15429359,https://www.airbnb.com/users/show/15429359,Jim,2014-05-12,"Mountain View, CA",Design Engineer,within an hour,100%,99%,t,https://a0.muscache.com/im/users/15429359/profile_pic/1399920310/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/15429359/profile_pic/1399920310/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Pacific Grove, California, United States",Pacific Grove,,36.6333,-121.92406,Private room in home,Private room,2,,1 bath,,1,[],$230.00,1,1125,1,7,1125,1125,1.2,1125.0,,t,0,0,0,0,2023-12-31,592,58,2,2014-08-26,2023-12-30,4.91,4.94,4.9,4.96,4.96,4.97,4.78,,f,2,1,1,0,5.20
