id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
8357,https://www.airbnb.com/rooms/8357,20231230181010,2023-12-31,city scrape,Dome in Aptos · ★4.88 · 1 bedroom · 2 beds · 1 bath,,"Even though we live only an 8-10 minute drive to Aptos village and the beaches, as we live on 10 acres, it feels very remote and private here. It is usually very quiet at night - sometimes we can hear the ocean waves crashing on the beach. There is lots of land to hike on and explore here as well.<br />We have 9 people living here in a rather loose community.",https://a0.muscache.com/pictures/miso/Hosting-8357/original/42e1ffc2-9c9d-4b12-8e1b-dc725e394b6f.jpeg,24281,https://www.airbnb.com/users/show/24281,Kitty And Michael,2009-07-03,"Aptos, CA","We live on 10 beautiful acres of sun, oak forest, redwood groves and gardens with a parrot, 2 cats, a small dog, 12 chickens and from 200 - 500 hummingbirds - depending on the time of year..  

I have been hosting on airbnb since July, 2009 and really love what this company has made possible. I have met so many wonderful people from around the world that I would never have met if I hadn't had this opportunity with airbnb! Some of our guests (especially the ones from Europe) have never seen a hummingbird before and here they get to see them up close - just a few feet from them as the birds ""hum"" around the feeders.

We welcome you to come experience the peace and tranquility that our wonderful land has to offer.",within a few hours,100%,98%,t,https://a0.muscache.com/im/pictures/user/78101d29-3373-46ef-a64b-6faa3e2df40f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/78101d29-3373-46ef-a64b-6faa3e2df40f.jpg?aki_policy=profile_x_medium,Santa Cruz,2,2,"['email', 'phone']",t,t,"Aptos, California, United States",Unincorporated Areas,,37.00939,-121.88547,Dome,Entire home/apt,3,,1 bath,,2,[],$168.00,2,28,2,2,28,28,2.0,28.0,,t,0,0,0,0,2023-12-31,1860,106,7,2009-07-19,2023-12-26,4.88,4.91,4.83,4.92,4.94,4.9,4.8,,f,2,2,0,0,10.57
11879,https://www.airbnb.com/rooms/11879,20231230181010,2023-12-31,city scrape,Home in Aptos · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,,,https://a0.muscache.com/pictures/5acb8501-4855-4b6e-ace1-ef95461e82fa.jpg,44764,https://www.airbnb.com/users/show/44764,Steven,2009-10-09,"Aptos, CA","Easygoing, environmentalist, musician/educator, progressive. Active playing music, gardening, teaching and working on the homestead. ",within a few hours,90%,65%,f,https://a0.muscache.com/im/pictures/user/f627403d-ec01-42b0-b669-f1a3419bcc6d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f627403d-ec01-42b0-b669-f1a3419bcc6d.jpg?aki_policy=profile_x_medium,Santa Cruz,3,9,"['email', 'phone']",t,t,,Unincorporated Areas,,36.98048,-121.88129,Private room in home,Private room,2,,1 shared bath,,1,[],$95.00,3,90,3,3,90,90,3.0,90.0,,t,30,60,90,179,2023-12-31,99,14,0,2010-08-11,2023-10-08,4.82,4.82,4.61,4.96,4.92,4.95,4.8,,f,3,2,1,0,0.61
31721,https://www.airbnb.com/rooms/31721,20231230181010,2023-12-31,city scrape,Cottage in Santa Cruz · ★4.73 · 1 bedroom · 1 bed · 1 bath,,I love everything about this neighborhood.  I love how I know my neighbors.  I love how walking down to check the surf is difficult just because of the friends you see along the way.  We don't have sidewalks and we like it that way. What we have are backyard bbqs and each other.,https://a0.muscache.com/pictures/73aa203a-cb53-4502-85e0-19a88f85cb9d.jpg,136376,https://www.airbnb.com/users/show/136376,Annie,2010-06-01,"Santa Cruz, CA","Hey Airbnb folks thanks for taking the time to check out my profile.  I've spent most of my life in Santa Cruz and I am a big fan of keeping the integrity of Pleasure Point, architecturally and as a community. Traveling and surfing are a few of the greatest loves in my life. There is so much to be learned from people and places. My love for surfing has taken me across the globe.  Enjoy this sweet little shpot in the heart of Pleasure Point.",within a few hours,100%,86%,t,https://a0.muscache.com/im/pictures/user/06955955-97b6-4054-b946-cd2db22d233e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/06955955-97b6-4054-b946-cd2db22d233e.jpg?aki_policy=profile_x_medium,Santa Cruz,2,2,"['email', 'phone']",t,f,"Santa Cruz, California, United States",City of Capitola,,36.95849,-121.97207,Entire cottage,Entire home/apt,2,,1 bath,,1,[],$197.00,4,30,1,4,30,30,3.5,30.0,,t,15,39,69,339,2023-12-31,371,62,3,2012-11-26,2023-12-16,4.73,4.8,4.7,4.93,4.92,4.95,4.52,,f,2,2,0,0,2.75
37791,https://www.airbnb.com/rooms/37791,20231230181010,2023-12-31,city scrape,Rental unit in Santa Cruz · ★4.59 · 1 bedroom · 1 bed · 1 bath,,,https://a0.muscache.com/pictures/980962/a1eddfaf_original.jpg,162553,https://www.airbnb.com/users/show/162553,Katie,2010-07-10,"Santa Cruz, CA","My husband and I are school teachers who love Santa Cruz and are interested in sharing it with family and friends. We enjoy theatre, dance, literature, gardening, the beach, the woods, animals and travel -- not necessarily in that order. We look forward to meeting new folks traveling to our ""quiet little seaside"" town! ",within an hour,100%,75%,f,https://a0.muscache.com/im/users/162553/profile_pic/1358715988/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/162553/profile_pic/1358715988/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,f,,City of Santa Cruz,,36.97425,-122.00706,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],$98.00,31,365,31,31,365,365,31.0,365.0,,t,0,0,13,235,2023-12-31,90,1,1,2010-08-01,2023-12-17,4.59,4.64,4.67,4.8,4.83,4.77,4.64,,f,1,1,0,0,0.55
43785,https://www.airbnb.com/rooms/43785,20231230181010,2023-12-31,city scrape,Home in Santa Cruz · ★4.88 · 1 bedroom · 2 beds · 1 private bath,,"The West side of Santa Cruz is an extension, uphill, from the historic Mission Plaza.  It is one of the original 'neighbourhoods' in Santa Cruz with many mid-late 1800s homes providing spectacular panoramic views of Monterey Bay.  My house was an original 'settler' homestead, built in the 1860s in one of the finest locations then and now.",https://a0.muscache.com/pictures/305117/1a131db0_original.jpg,191477,https://www.airbnb.com/users/show/191477,Caroline,2010-08-04,"Santa Cruz, CA","I am a phonetician, speech technologist, and linguist. 
Apart from my professional work, I enjoy my unique Victorian house, gardening, growing orchids, cooking and fine wines, antiques, painting, hiking, camping under the stars, international travel, and, most of all, my gorgeous Bengal cat.
This is a quiet, non-smoking, cat-loving house where dogs would have a hard time but cat-lovers will be delighted!
 ",within a few hours,100%,95%,t,https://a0.muscache.com/im/users/191477/profile_pic/1315605330/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/191477/profile_pic/1315605330/original.jpg?aki_policy=profile_x_medium,Santa Cruz,1,1,"['email', 'phone']",t,t,"Santa Cruz, California, United States",City of Santa Cruz,,36.97774,-122.03403,Private room in home,Private room,2,,1 private bath,,2,[],$105.00,2,30,2,2,30,30,2.0,30.0,,t,0,0,0,0,2023-12-31,579,43,1,2010-08-30,2023-12-28,4.88,4.92,4.94,4.88,4.93,4.94,4.81,,f,1,0,1,0,3.57
57031,https://www.airbnb.com/rooms/57031,20231230181010,2023-12-31,city scrape,Home in Aptos · 2 bedrooms · 2 beds · 1 bath,,"Neighborhood is very quiet and safe. The beautiful 40 acre Polo Grounds Park is across the street with a trail going all the way around and down into the redwoods and the creek below. This home is near the end of a cul de sac and there is almost zero traffic, so very safe and quiet. Fruit trees in the orchard next door with pears, apples and figs. All houses on this street have a creek",https://a0.muscache.com/pictures/340587/0f5da57c_original.jpg,44764,https://www.airbnb.com/users/show/44764,Steven,2009-10-09,"Aptos, CA","Easygoing, environmentalist, musician/educator, progressive. Active playing music, gardening, teaching and working on the homestead. ",within a few hours,90%,65%,f,https://a0.muscache.com/im/pictures/user/f627403d-ec01-42b0-b669-f1a3419bcc6d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f627403d-ec01-42b0-b669-f1a3419bcc6d.jpg?aki_policy=profile_x_medium,Santa Cruz,3,9,"['email', 'phone']",t,t,"Aptos, California, United States",Unincorporated Areas,,36.98111,-121.88124,Entire home,Entire home/apt,8,,1 bath,,2,[],$129.00,10,90,10,10,90,90,10.0,90.0,,t,24,54,83,83,2023-12-31,1,0,0,2018-08-22,2018-08-22,5.0,5.0,3.0,5.0,5.0,5.0,5.0,,f,3,2,1,0,0.02
72288,https://www.airbnb.com/rooms/72288,20231230181010,2023-12-31,city scrape,Cottage in Felton · ★4.73 · 1 bedroom · 2 beds · 1.5 baths,,"Set amongst lovely redwood trees with creek running thru it, occasional visits from wild turkeys.   Once you are inside, the A-Frame home offers lots of privacy.  No backyard neighbors in view as there is a steep hill on the opposite side of the creek camouflaged by trees.",https://a0.muscache.com/pictures/bd0ce33b-ea9a-44e3-b10e-372349374c97.jpg,366768,https://www.airbnb.com/users/show/366768,Cynthia,2011-01-28,"Boulder Creek, CA","I am a retired professional from the high tech industry of Silicon Valley.  Love to be with nature, all creatures big & small, especially our dogs, Dexter and Obi, who is adoringly called my ""teddy bear"" and ""pooh bear"".  Enjoy travels to immerse in the local culture, and food.  It gives me great pleasure to facilitate an experience for my guests to connect/re-connect with nature during their home away from home stay with me. Enjoy sharing with others the natural beauty of the redwoods and creek-side setting of my home in the Santa Cruz mountains. ",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/c1902f10-738d-4daf-a3df-8576f3778287.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c1902f10-738d-4daf-a3df-8576f3778287.jpg?aki_policy=profile_x_medium,,1,5,"['email', 'phone']",t,t,"Felton, California, United States",Unincorporated Areas,,37.08876,-122.04489,Entire cottage,Entire home/apt,4,,1.5 baths,,2,[],$222.00,1,60,1,1,60,60,1.0,60.0,,t,0,0,0,0,2023-12-31,713,30,0,2011-03-14,2023-11-25,4.73,4.8,4.67,4.93,4.92,4.79,4.57,,f,1,1,0,0,4.57
126012,https://www.airbnb.com/rooms/126012,20231230181010,2023-12-31,city scrape,Cabin in Corralitos · ★4.91 · 1 bedroom · 1 bed · 1 bath,,,https://a0.muscache.com/pictures/899718/8a4a0645_original.jpg,625642,https://www.airbnb.com/users/show/625642,Mary Jane,2011-05-25,"Corralitos, CA","I am a woman interested in almost everything. I am married, the mother of five children, ages 24 to 44. I am grandmother to seven, great-grandmother to one! I am a local to the area and love my native California. I make soap and body products and am an avid reader. I have and affinity for people an animals. Thinking is my favorite activity. Talking with thinkers comes next. I love nature and have chosen to live in the mountains my entire adult life. I have traveled to Mexico, Canada, Ireland, Europe and around the States. I look forward to more travels and the good people wherever I go... 
Bless you, Mary Jane",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/965608ca-ea23-4b95-bd95-9e2fd317010d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/965608ca-ea23-4b95-bd95-9e2fd317010d.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Unincorporated Areas,,37.03283,-121.827,Entire cabin,Entire home/apt,2,,1 bath,,1,[],$168.00,1,30,1,2,1125,1125,1.3,1125.0,,t,0,0,0,0,2023-12-31,698,76,4,2011-07-03,2023-12-15,4.91,4.93,4.91,4.94,4.9,4.9,4.81,,t,2,2,0,0,4.59
153903,https://www.airbnb.com/rooms/153903,20231230181010,2023-12-31,city scrape,Treehouse in Watsonville · ★4.90 · 1 bedroom · 1 bed · 1 bath,,,https://a0.muscache.com/pictures/miso/Hosting-153903/original/211054da-3149-4b3a-b268-cb851da3532a.jpeg,625642,https://www.airbnb.com/users/show/625642,Mary Jane,2011-05-25,"Corralitos, CA","I am a woman interested in almost everything. I am married, the mother of five children, ages 24 to 44. I am grandmother to seven, great-grandmother to one! I am a local to the area and love my native California. I make soap and body products and am an avid reader. I have and affinity for people an animals. Thinking is my favorite activity. Talking with thinkers comes next. I love nature and have chosen to live in the mountains my entire adult life. I have traveled to Mexico, Canada, Ireland, Europe and around the States. I look forward to more travels and the good people wherever I go... 
Bless you, Mary Jane",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/965608ca-ea23-4b95-bd95-9e2fd317010d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/965608ca-ea23-4b95-bd95-9e2fd317010d.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,,Unincorporated Areas,,37.03054,-121.8258,Treehouse,Entire home/apt,2,,1 bath,,1,[],$173.00,1,365,1,1,365,365,1.0,365.0,,t,0,0,0,0,2023-12-31,980,77,4,2011-07-11,2023-12-15,4.9,4.87,4.81,4.87,4.82,4.83,4.78,,f,2,2,0,0,6.45
193973,https://www.airbnb.com/rooms/193973,20231230181010,2023-12-31,city scrape,Tiny home in Santa Cruz · ★4.85 · 2 beds · 1 bath,,People are really friendly in this comfortable neighborhood.  You can just park your car and have plenty to do within walking distance.  Or use it for home base and visit Big Sur or the Monterey Bay Aquarium.  There is plenty of beauty and action right here.  Amazing what you will find to do.  Always something happening in Santa Cruz.,https://a0.muscache.com/pictures/miso/Hosting-193973/original/2be7a9d0-bc90-4bbb-b7f2-341f46792fed.jpeg,100114471,https://www.airbnb.com/users/show/100114471,Janiece,2016-10-17,"Santa Cruz, CA","",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/33757b01-8e79-4e44-88de-d2ca93f1a815.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/33757b01-8e79-4e44-88de-d2ca93f1a815.jpg?aki_policy=profile_x_medium,Santa Cruz,19,46,"['email', 'phone']",t,t,"Santa Cruz, California, United States",City of Santa Cruz,,36.965901229365684,-121.9998662766653,Tiny home,Entire home/apt,2,,1 bath,,2,[],$135.00,1,31,1,3,1125,1125,1.5,1125.0,,t,24,47,65,332,2023-12-31,538,3,2,2011-11-05,2023-12-13,4.85,4.92,4.92,4.98,4.99,4.92,4.73,,f,16,16,0,0,3.64
